component_id,image_id,image_reference,component_name,component_version,primary_cpe,status,matched_cpe_name_id,deprecated,snapshot_id
93339,14,docker.io/library/alpine:3.24.1,alpine,3.24.1,,NOT_PRESENT,,,20260725T035002Z
93323,14,docker.io/library/alpine:3.24.1,alpine-baselayout,3.7.2-r1,cpe:2.3:a:alpine-baselayout:alpine-baselayout:3.7.2-r1:*:*:*:*:*:*:*,NOT_IN_DICTIONARY,,,20260725T035002Z
93324,14,docker.io/library/alpine:3.24.1,alpine-baselayout-data,3.7.2-r1,cpe:2.3:a:alpine-baselayout-data:alpine-baselayout-data:3.7.2-r1:*:*:*:*:*:*:*,NOT_IN_DICTIONARY,,,20260725T035002Z
93325,14,docker.io/library/alpine:3.24.1,alpine-keys,2.6-r0,cpe:2.3:a:alpine-keys:alpine-keys:2.6-r0:*:*:*:*:*:*:*,NOT_IN_DICTIONARY,,,20260725T035002Z
93326,14,docker.io/library/alpine:3.24.1,alpine-release,3.24.1-r0,cpe:2.3:a:alpine-release:alpine-release:3.24.1-r0:*:*:*:*:*:*:*,NOT_IN_DICTIONARY,,,20260725T035002Z
93327,14,docker.io/library/alpine:3.24.1,apk-tools,3.0.6-r0,cpe:2.3:a:apk-tools:apk-tools:3.0.6-r0:*:*:*:*:*:*:*,NOT_IN_DICTIONARY,,,20260725T035002Z
93340,14,docker.io/library/alpine:3.24.1,/bin/busybox,,,NOT_PRESENT,,,20260725T035002Z
93328,14,docker.io/library/alpine:3.24.1,busybox,1.37.0-r31,cpe:2.3:a:busybox:busybox:1.37.0-r31:*:*:*:*:*:*:*,NOT_IN_DICTIONARY,,,20260725T035002Z
93329,14,docker.io/library/alpine:3.24.1,busybox-binsh,1.37.0-r31,cpe:2.3:a:busybox-binsh:busybox-binsh:1.37.0-r31:*:*:*:*:*:*:*,NOT_IN_DICTIONARY,,,20260725T035002Z
93330,14,docker.io/library/alpine:3.24.1,ca-certificates-bundle,20260611-r0,cpe:2.3:a:ca-certificates-bundle:ca-certificates-bundle:20260611-r0:*:*:*:*:*:*:*,NOT_IN_DICTIONARY,,,20260725T035002Z
93341,14,docker.io/library/alpine:3.24.1,/etc/alpine-release,,,NOT_PRESENT,,,20260725T035002Z
93342,14,docker.io/library/alpine:3.24.1,/etc/apk/keys/alpine-devel@lists.alpinelinux.org-4a6a0840.rsa.pub,,,NOT_PRESENT,,,20260725T035002Z
93343,14,docker.io/library/alpine:3.24.1,/etc/apk/keys/alpine-devel@lists.alpinelinux.org-5261cecb.rsa.pub,,,NOT_PRESENT,,,20260725T035002Z
93344,14,docker.io/library/alpine:3.24.1,/etc/apk/keys/alpine-devel@lists.alpinelinux.org-6165ee59.rsa.pub,,,NOT_PRESENT,,,20260725T035002Z
93345,14,docker.io/library/alpine:3.24.1,/etc/busybox-paths.d/busybox,,,NOT_PRESENT,,,20260725T035002Z
93346,14,docker.io/library/alpine:3.24.1,/etc/crontabs/root,,,NOT_PRESENT,,,20260725T035002Z
93347,14,docker.io/library/alpine:3.24.1,/etc/fstab,,,NOT_PRESENT,,,20260725T035002Z
93348,14,docker.io/library/alpine:3.24.1,/etc/group,,,NOT_PRESENT,,,20260725T035002Z
93349,14,docker.io/library/alpine:3.24.1,/etc/hostname,,,NOT_PRESENT,,,20260725T035002Z
93350,14,docker.io/library/alpine:3.24.1,/etc/hosts,,,NOT_PRESENT,,,20260725T035002Z
93351,14,docker.io/library/alpine:3.24.1,/etc/inittab,,,NOT_PRESENT,,,20260725T035002Z
93352,14,docker.io/library/alpine:3.24.1,/etc/issue,,,NOT_PRESENT,,,20260725T035002Z
93353,14,docker.io/library/alpine:3.24.1,/etc/logrotate.d/acpid,,,NOT_PRESENT,,,20260725T035002Z
93354,14,docker.io/library/alpine:3.24.1,/etc/modprobe.d/aliases.conf,,,NOT_PRESENT,,,20260725T035002Z
93355,14,docker.io/library/alpine:3.24.1,/etc/modprobe.d/blacklist.conf,,,NOT_PRESENT,,,20260725T035002Z
93356,14,docker.io/library/alpine:3.24.1,/etc/modprobe.d/i386.conf,,,NOT_PRESENT,,,20260725T035002Z
93357,14,docker.io/library/alpine:3.24.1,/etc/modules,,,NOT_PRESENT,,,20260725T035002Z
93358,14,docker.io/library/alpine:3.24.1,/etc/motd,,,NOT_PRESENT,,,20260725T035002Z
93359,14,docker.io/library/alpine:3.24.1,/etc/network/if-up.d/dad,,,NOT_PRESENT,,,20260725T035002Z
93360,14,docker.io/library/alpine:3.24.1,/etc/nsswitch.conf,,,NOT_PRESENT,,,20260725T035002Z
93361,14,docker.io/library/alpine:3.24.1,/etc/passwd,,,NOT_PRESENT,,,20260725T035002Z
93362,14,docker.io/library/alpine:3.24.1,/etc/profile,,,NOT_PRESENT,,,20260725T035002Z
93363,14,docker.io/library/alpine:3.24.1,/etc/profile.d/20locale.sh,,,NOT_PRESENT,,,20260725T035002Z
93365,14,docker.io/library/alpine:3.24.1,/etc/profile.d/color_prompt.sh.disabled,,,NOT_PRESENT,,,20260725T035002Z
93364,14,docker.io/library/alpine:3.24.1,/etc/profile.d/README,,,NOT_PRESENT,,,20260725T035002Z
93366,14,docker.io/library/alpine:3.24.1,/etc/protocols,,,NOT_PRESENT,,,20260725T035002Z
93367,14,docker.io/library/alpine:3.24.1,/etc/secfixes.d/alpine,,,NOT_PRESENT,,,20260725T035002Z
93368,14,docker.io/library/alpine:3.24.1,/etc/securetty,,,NOT_PRESENT,,,20260725T035002Z
93369,14,docker.io/library/alpine:3.24.1,/etc/services,,,NOT_PRESENT,,,20260725T035002Z
93370,14,docker.io/library/alpine:3.24.1,/etc/shadow,,,NOT_PRESENT,,,20260725T035002Z
93371,14,docker.io/library/alpine:3.24.1,/etc/shells,,,NOT_PRESENT,,,20260725T035002Z
93372,14,docker.io/library/alpine:3.24.1,/etc/ssl/certs/ca-certificates.crt,,,NOT_PRESENT,,,20260725T035002Z
93373,14,docker.io/library/alpine:3.24.1,/etc/ssl/ct_log_list.cnf,,,NOT_PRESENT,,,20260725T035002Z
93374,14,docker.io/library/alpine:3.24.1,/etc/ssl/ct_log_list.cnf.dist,,,NOT_PRESENT,,,20260725T035002Z
93375,14,docker.io/library/alpine:3.24.1,/etc/ssl/openssl.cnf,,,NOT_PRESENT,,,20260725T035002Z
93376,14,docker.io/library/alpine:3.24.1,/etc/ssl/openssl.cnf.dist,,,NOT_PRESENT,,,20260725T035002Z
93377,14,docker.io/library/alpine:3.24.1,/etc/sysctl.conf,,,NOT_PRESENT,,,20260725T035002Z
93378,14,docker.io/library/alpine:3.24.1,/etc/udhcpc/udhcpc.conf,,,NOT_PRESENT,,,20260725T035002Z
93331,14,docker.io/library/alpine:3.24.1,libapk,3.0.6-r0,cpe:2.3:a:libapk:libapk:3.0.6-r0:*:*:*:*:*:*:*,NOT_IN_DICTIONARY,,,20260725T035002Z
93379,14,docker.io/library/alpine:3.24.1,/lib/apk/db/installed,,,NOT_PRESENT,,,20260725T035002Z
93332,14,docker.io/library/alpine:3.24.1,libcrypto3,3.5.7-r0,cpe:2.3:a:libcrypto3:libcrypto3:3.5.7-r0:*:*:*:*:*:*:*,NOT_IN_DICTIONARY,,,20260725T035002Z
93380,14,docker.io/library/alpine:3.24.1,/lib/ld-musl-x86_64.so.1,,,NOT_PRESENT,,,20260725T035002Z
93333,14,docker.io/library/alpine:3.24.1,libssl3,3.5.7-r0,cpe:2.3:a:libssl3:libssl3:3.5.7-r0:*:*:*:*:*:*:*,NOT_IN_DICTIONARY,,,20260725T035002Z
93334,14,docker.io/library/alpine:3.24.1,musl,1.2.6-r2,cpe:2.3:a:musl-libc:musl:1.2.6-r2:*:*:*:*:*:*:*,NOT_IN_DICTIONARY,,,20260725T035002Z
