primary_cpe,component_count,status,matched_cpe_name_id,deprecated,snapshot_id
cpe:2.3:a:GehirnInc:crypt:v0.0.0-20230320061759-8cc1b52080c5:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:JoshGlazebrook:smart-buffer:4.2.0:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:JoshGlazebrook:socks:2.8.9:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:Simple_Launcher:Simple_Launcher:1.1.0.14:*:*:*:*:*:*:*,6,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:TooTallNate:agent-base:7.1.4:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@gar\/promise-retry:\@gar\/promise-retry:1.0.3:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@isaacs\/fs-minipass:\@isaacs\/fs-minipass:4.0.1:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@isaacs\/string-locale-compare:\@isaacs\/string-locale-compare:1.1.0:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@npmcli\/agent:\@npmcli\/agent:4.0.2:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@npmcli\/config:\@npmcli\/config:10.10.0:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@npmcli\/fs:\@npmcli\/fs:5.0.0:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@npmcli\/git:\@npmcli\/git:7.0.2:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@npmcli\/installed-package-contents:\@npmcli\/installed-package-contents:4.0.0:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@npmcli\/map-workspaces:\@npmcli\/map-workspaces:5.0.3:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@npmcli\/metavuln-calculator:\@npmcli\/metavuln-calculator:9.0.3:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@npmcli\/name-from-folder:\@npmcli\/name-from-folder:4.0.0:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@npmcli\/node-gyp:\@npmcli\/node-gyp:5.0.0:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@npmcli\/package-json:\@npmcli\/package-json:7.0.5:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@npmcli\/promise-spawn:\@npmcli\/promise-spawn:9.0.1:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@npmcli\/query:\@npmcli\/query:5.0.0:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@npmcli\/redact:\@npmcli\/redact:4.0.0:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@npmcli\/run-script:\@npmcli\/run-script:10.0.4:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@sigstore\/bundle:\@sigstore\/bundle:4.0.0:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@sigstore\/core:\@sigstore\/core:3.2.1:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@sigstore\/protobuf-specs:\@sigstore\/protobuf-specs:0.5.1:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@sigstore\/sign:\@sigstore\/sign:4.1.1:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@sigstore\/tuf:\@sigstore\/tuf:4.0.2:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@sigstore\/verify:\@sigstore\/verify:3.1.1:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:\@tufjs\/canonical-json:\@tufjs\/canonical-json:2.0.0:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:abbrev:abbrev:4.0.0:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:adduser:adduser:3.134:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:adduser:adduser:3.152:*:*:*:*:*:*:*,2,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:alpine-baselayout-data:alpine-baselayout-data:3.7.2-r1:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:alpine-baselayout:alpine-baselayout:3.7.2-r1:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:alpine-keys:alpine-keys:2.6-r0:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:alpine-release:alpine-release:3.24.1-r0:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:apk-tools:apk-tools:3.0.6-r0:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:aproba:aproba:2.1.0:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:apt:apt:2.6.1:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:apt:apt:3.0.3:*:*:*:*:*:*:*,5,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:apt:apt:3.2.0:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
"cpe:2.3:a:armin_rigo\,_maciej_fijalkowski_project:python-cffi:2.0.0:*:*:*:*:*:*:*",1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:autoconf:autoconf:2.71-3:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:autoconf:autoconf:2.72-3.1:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:automake:automake:1\:1.16.5-1.3:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:automake:automake:1\:1.17-4:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:autotools-dev:autotools-dev:20220109.1:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
cpe:2.3:a:autotools-dev:autotools-dev:20240727.1:*:*:*:*:*:*:*,1,NOT_IN_DICTIONARY,,,20260725T035002Z
