component_id,repository,tag,sbom_source_path,bom_ref,component_type,component_name,component_version,publisher,purl,raw_cpe,structural_status,error_message,part_raw,vendor_raw,product_raw,version_raw,update_raw,edition_raw,language_raw,sw_edition_raw,target_sw_raw,target_hw_raw,other_raw
93323,docker.io/library/alpine,3.24.1,pilot/results/sboms/alpine-3.24.1.cdx.json,pkg:apk/alpine/alpine-baselayout@3.7.2-r1?arch=x86_64&distro=alpine-3.24.1&package-id=1e1affaf659b0bd3,library,alpine-baselayout,3.7.2-r1,Natanael Copa <ncopa@alpinelinux.org>,pkg:apk/alpine/alpine-baselayout@3.7.2-r1?arch=x86_64&distro=alpine-3.24.1,cpe:2.3:a:alpine-baselayout:alpine-baselayout:3.7.2-r1:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,alpine-baselayout,alpine-baselayout,3.7.2-r1,*,*,*,*,*,*,*
93324,docker.io/library/alpine,3.24.1,pilot/results/sboms/alpine-3.24.1.cdx.json,pkg:apk/alpine/alpine-baselayout-data@3.7.2-r1?arch=x86_64&distro=alpine-3.24.1&package-id=4cc5d861091994fc&upstream=alpine-baselayout,library,alpine-baselayout-data,3.7.2-r1,Natanael Copa <ncopa@alpinelinux.org>,pkg:apk/alpine/alpine-baselayout-data@3.7.2-r1?arch=x86_64&distro=alpine-3.24.1&upstream=alpine-baselayout,cpe:2.3:a:alpine-baselayout-data:alpine-baselayout-data:3.7.2-r1:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,alpine-baselayout-data,alpine-baselayout-data,3.7.2-r1,*,*,*,*,*,*,*
93325,docker.io/library/alpine,3.24.1,pilot/results/sboms/alpine-3.24.1.cdx.json,pkg:apk/alpine/alpine-keys@2.6-r0?arch=x86_64&distro=alpine-3.24.1&package-id=0ceaef0670a2bbd9,library,alpine-keys,2.6-r0,Natanael Copa <ncopa@alpinelinux.org>,pkg:apk/alpine/alpine-keys@2.6-r0?arch=x86_64&distro=alpine-3.24.1,cpe:2.3:a:alpine-keys:alpine-keys:2.6-r0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,alpine-keys,alpine-keys,2.6-r0,*,*,*,*,*,*,*
93326,docker.io/library/alpine,3.24.1,pilot/results/sboms/alpine-3.24.1.cdx.json,pkg:apk/alpine/alpine-release@3.24.1-r0?arch=x86_64&distro=alpine-3.24.1&package-id=807a1940110a1826&upstream=alpine-base,library,alpine-release,3.24.1-r0,Natanael Copa <ncopa@alpinelinux.org>,pkg:apk/alpine/alpine-release@3.24.1-r0?arch=x86_64&distro=alpine-3.24.1&upstream=alpine-base,cpe:2.3:a:alpine-release:alpine-release:3.24.1-r0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,alpine-release,alpine-release,3.24.1-r0,*,*,*,*,*,*,*
93327,docker.io/library/alpine,3.24.1,pilot/results/sboms/alpine-3.24.1.cdx.json,pkg:apk/alpine/apk-tools@3.0.6-r0?arch=x86_64&distro=alpine-3.24.1&package-id=d23f3477cd70e30d,library,apk-tools,3.0.6-r0,Natanael Copa <ncopa@alpinelinux.org>,pkg:apk/alpine/apk-tools@3.0.6-r0?arch=x86_64&distro=alpine-3.24.1,cpe:2.3:a:apk-tools:apk-tools:3.0.6-r0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,apk-tools,apk-tools,3.0.6-r0,*,*,*,*,*,*,*
93328,docker.io/library/alpine,3.24.1,pilot/results/sboms/alpine-3.24.1.cdx.json,pkg:apk/alpine/busybox@1.37.0-r31?arch=x86_64&distro=alpine-3.24.1&package-id=fef07e9c95ea2bda,library,busybox,1.37.0-r31,Sören Tempel <soeren+alpine@soeren-tempel.net>,pkg:apk/alpine/busybox@1.37.0-r31?arch=x86_64&distro=alpine-3.24.1,cpe:2.3:a:busybox:busybox:1.37.0-r31:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,busybox,busybox,1.37.0-r31,*,*,*,*,*,*,*
93329,docker.io/library/alpine,3.24.1,pilot/results/sboms/alpine-3.24.1.cdx.json,pkg:apk/alpine/busybox-binsh@1.37.0-r31?arch=x86_64&distro=alpine-3.24.1&package-id=915155597fcdee9a&upstream=busybox,library,busybox-binsh,1.37.0-r31,Sören Tempel <soeren+alpine@soeren-tempel.net>,pkg:apk/alpine/busybox-binsh@1.37.0-r31?arch=x86_64&distro=alpine-3.24.1&upstream=busybox,cpe:2.3:a:busybox-binsh:busybox-binsh:1.37.0-r31:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,busybox-binsh,busybox-binsh,1.37.0-r31,*,*,*,*,*,*,*
93330,docker.io/library/alpine,3.24.1,pilot/results/sboms/alpine-3.24.1.cdx.json,pkg:apk/alpine/ca-certificates-bundle@20260611-r0?arch=x86_64&distro=alpine-3.24.1&package-id=10ea3158c0ed0be2&upstream=ca-certificates,library,ca-certificates-bundle,20260611-r0,Natanael Copa <ncopa@alpinelinux.org>,pkg:apk/alpine/ca-certificates-bundle@20260611-r0?arch=x86_64&distro=alpine-3.24.1&upstream=ca-certificates,cpe:2.3:a:ca-certificates-bundle:ca-certificates-bundle:20260611-r0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,ca-certificates-bundle,ca-certificates-bundle,20260611-r0,*,*,*,*,*,*,*
93331,docker.io/library/alpine,3.24.1,pilot/results/sboms/alpine-3.24.1.cdx.json,pkg:apk/alpine/libapk@3.0.6-r0?arch=x86_64&distro=alpine-3.24.1&package-id=ef745636bda6d4ea&upstream=apk-tools,library,libapk,3.0.6-r0,Natanael Copa <ncopa@alpinelinux.org>,pkg:apk/alpine/libapk@3.0.6-r0?arch=x86_64&distro=alpine-3.24.1&upstream=apk-tools,cpe:2.3:a:libapk:libapk:3.0.6-r0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,libapk,libapk,3.0.6-r0,*,*,*,*,*,*,*
93332,docker.io/library/alpine,3.24.1,pilot/results/sboms/alpine-3.24.1.cdx.json,pkg:apk/alpine/libcrypto3@3.5.7-r0?arch=x86_64&distro=alpine-3.24.1&package-id=e23c248c64dfa980&upstream=openssl,library,libcrypto3,3.5.7-r0,Natanael Copa <ncopa@alpinelinux.org>,pkg:apk/alpine/libcrypto3@3.5.7-r0?arch=x86_64&distro=alpine-3.24.1&upstream=openssl,cpe:2.3:a:libcrypto3:libcrypto3:3.5.7-r0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,libcrypto3,libcrypto3,3.5.7-r0,*,*,*,*,*,*,*
