raw_cpe,structural_status,part_raw,vendor_raw,product_raw,version_raw,component_count,image_count,sbom_count,component_name_count,repositories,component_names
cpe:2.3:a:GehirnInc:crypt:v0.0.0-20230320061759-8cc1b52080c5:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,GehirnInc,crypt,v0.0.0-20230320061759-8cc1b52080c5,1,1,1,1,docker.io/library/ubuntu,github.com/GehirnInc/crypt
cpe:2.3:a:JoshGlazebrook:smart-buffer:4.2.0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,JoshGlazebrook,smart-buffer,4.2.0,1,1,1,1,docker.io/library/node,smart-buffer
cpe:2.3:a:JoshGlazebrook:socks:2.8.9:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,JoshGlazebrook,socks,2.8.9,1,1,1,1,docker.io/library/node,socks
cpe:2.3:a:Simple_Launcher:Simple_Launcher:1.1.0.14:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,Simple_Launcher,Simple_Launcher,1.1.0.14,6,1,1,1,docker.io/library/python,Simple Launcher
cpe:2.3:a:TooTallNate:agent-base:7.1.4:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,TooTallNate,agent-base,7.1.4,1,1,1,1,docker.io/library/node,agent-base
cpe:2.3:a:\@gar\/promise-retry:\@gar\/promise-retry:1.0.3:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@gar\/promise-retry,\@gar\/promise-retry,1.0.3,1,1,1,1,docker.io/library/node,@gar/promise-retry
cpe:2.3:a:\@isaacs\/fs-minipass:\@isaacs\/fs-minipass:4.0.1:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@isaacs\/fs-minipass,\@isaacs\/fs-minipass,4.0.1,1,1,1,1,docker.io/library/node,@isaacs/fs-minipass
cpe:2.3:a:\@isaacs\/string-locale-compare:\@isaacs\/string-locale-compare:1.1.0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@isaacs\/string-locale-compare,\@isaacs\/string-locale-compare,1.1.0,1,1,1,1,docker.io/library/node,@isaacs/string-locale-compare
cpe:2.3:a:\@npmcli\/agent:\@npmcli\/agent:4.0.2:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@npmcli\/agent,\@npmcli\/agent,4.0.2,1,1,1,1,docker.io/library/node,@npmcli/agent
cpe:2.3:a:\@npmcli\/config:\@npmcli\/config:10.10.0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@npmcli\/config,\@npmcli\/config,10.10.0,1,1,1,1,docker.io/library/node,@npmcli/config
cpe:2.3:a:\@npmcli\/fs:\@npmcli\/fs:5.0.0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@npmcli\/fs,\@npmcli\/fs,5.0.0,1,1,1,1,docker.io/library/node,@npmcli/fs
cpe:2.3:a:\@npmcli\/git:\@npmcli\/git:7.0.2:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@npmcli\/git,\@npmcli\/git,7.0.2,1,1,1,1,docker.io/library/node,@npmcli/git
cpe:2.3:a:\@npmcli\/installed-package-contents:\@npmcli\/installed-package-contents:4.0.0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@npmcli\/installed-package-contents,\@npmcli\/installed-package-contents,4.0.0,1,1,1,1,docker.io/library/node,@npmcli/installed-package-contents
cpe:2.3:a:\@npmcli\/map-workspaces:\@npmcli\/map-workspaces:5.0.3:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@npmcli\/map-workspaces,\@npmcli\/map-workspaces,5.0.3,1,1,1,1,docker.io/library/node,@npmcli/map-workspaces
cpe:2.3:a:\@npmcli\/metavuln-calculator:\@npmcli\/metavuln-calculator:9.0.3:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@npmcli\/metavuln-calculator,\@npmcli\/metavuln-calculator,9.0.3,1,1,1,1,docker.io/library/node,@npmcli/metavuln-calculator
cpe:2.3:a:\@npmcli\/name-from-folder:\@npmcli\/name-from-folder:4.0.0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@npmcli\/name-from-folder,\@npmcli\/name-from-folder,4.0.0,1,1,1,1,docker.io/library/node,@npmcli/name-from-folder
cpe:2.3:a:\@npmcli\/node-gyp:\@npmcli\/node-gyp:5.0.0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@npmcli\/node-gyp,\@npmcli\/node-gyp,5.0.0,1,1,1,1,docker.io/library/node,@npmcli/node-gyp
cpe:2.3:a:\@npmcli\/package-json:\@npmcli\/package-json:7.0.5:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@npmcli\/package-json,\@npmcli\/package-json,7.0.5,1,1,1,1,docker.io/library/node,@npmcli/package-json
cpe:2.3:a:\@npmcli\/promise-spawn:\@npmcli\/promise-spawn:9.0.1:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@npmcli\/promise-spawn,\@npmcli\/promise-spawn,9.0.1,1,1,1,1,docker.io/library/node,@npmcli/promise-spawn
cpe:2.3:a:\@npmcli\/query:\@npmcli\/query:5.0.0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@npmcli\/query,\@npmcli\/query,5.0.0,1,1,1,1,docker.io/library/node,@npmcli/query
cpe:2.3:a:\@npmcli\/redact:\@npmcli\/redact:4.0.0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@npmcli\/redact,\@npmcli\/redact,4.0.0,1,1,1,1,docker.io/library/node,@npmcli/redact
cpe:2.3:a:\@npmcli\/run-script:\@npmcli\/run-script:10.0.4:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@npmcli\/run-script,\@npmcli\/run-script,10.0.4,1,1,1,1,docker.io/library/node,@npmcli/run-script
cpe:2.3:a:\@sigstore\/bundle:\@sigstore\/bundle:4.0.0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@sigstore\/bundle,\@sigstore\/bundle,4.0.0,1,1,1,1,docker.io/library/node,@sigstore/bundle
cpe:2.3:a:\@sigstore\/core:\@sigstore\/core:3.2.1:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@sigstore\/core,\@sigstore\/core,3.2.1,1,1,1,1,docker.io/library/node,@sigstore/core
cpe:2.3:a:\@sigstore\/protobuf-specs:\@sigstore\/protobuf-specs:0.5.1:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@sigstore\/protobuf-specs,\@sigstore\/protobuf-specs,0.5.1,1,1,1,1,docker.io/library/node,@sigstore/protobuf-specs
cpe:2.3:a:\@sigstore\/sign:\@sigstore\/sign:4.1.1:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@sigstore\/sign,\@sigstore\/sign,4.1.1,1,1,1,1,docker.io/library/node,@sigstore/sign
cpe:2.3:a:\@sigstore\/tuf:\@sigstore\/tuf:4.0.2:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@sigstore\/tuf,\@sigstore\/tuf,4.0.2,1,1,1,1,docker.io/library/node,@sigstore/tuf
cpe:2.3:a:\@sigstore\/verify:\@sigstore\/verify:3.1.1:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@sigstore\/verify,\@sigstore\/verify,3.1.1,1,1,1,1,docker.io/library/node,@sigstore/verify
cpe:2.3:a:\@tufjs\/canonical-json:\@tufjs\/canonical-json:2.0.0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,\@tufjs\/canonical-json,\@tufjs\/canonical-json,2.0.0,1,1,1,1,docker.io/library/node,@tufjs/canonical-json
cpe:2.3:a:abbrev:abbrev:4.0.0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,abbrev,abbrev,4.0.0,1,1,1,1,docker.io/library/node,abbrev
cpe:2.3:a:adduser:adduser:3.134:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,adduser,adduser,3.134,1,1,1,1,docker.io/library/node,adduser
cpe:2.3:a:adduser:adduser:3.152:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,adduser,adduser,3.152,2,2,2,1,docker.io/library/postgres|docker.io/library/python,adduser
cpe:2.3:a:alpine-baselayout-data:alpine-baselayout-data:3.7.2-r1:*:*:*:*:*:*:*,STRUCTURALLY_VALID,a,alpine-baselayout-data,alpine-baselayout-data,3.7.2-r1,1,1,1,1,docker.io/library/alpine,alpine-baselayout-data
