repository,tag,platform,total_components,components_with_primary_cpe,components_without_primary_cpe,primary_cpe_ratio,structurally_valid_components,structurally_invalid_components,unique_primary_cpes
docker.io/library/alpine,3.24.1,linux/amd64,96,16,80,0.16666666666666666,16,0,16
docker.io/library/busybox,1.38.0,linux/amd64,3,1,2,0.3333333333333333,1,0,1
docker.io/library/memcached,1.6.45,linux/amd64,2529,83,2446,0.0328192961644919,83,0,83
docker.io/library/mysql,9.7.1,linux/amd64,23948,150,23798,0.006263571070653081,150,0,150
docker.io/library/nginx,1.30.4,linux/amd64,3379,152,3227,0.044983722994968924,152,0,152
docker.io/library/node,24.18.0,linux/amd64,20193,561,19632,0.027781904620413016,561,0,561
docker.io/library/postgres,18.4,linux/amd64,7471,149,7322,0.019943782626154465,149,0,149
docker.io/library/python,3.14.6,linux/amd64,22036,479,21557,0.021737157378834634,479,0,474
docker.io/library/redis,8.8.0,linux/amd64,2507,79,2428,0.03151176705225369,79,0,79
docker.io/library/ubuntu,26.04,linux/amd64,5249,99,5150,0.01886073537816727,99,0,99
