part_raw,vendor_raw,product_raw,component_count,unique_cpe_count,image_count
a,GehirnInc,crypt,1,1,1
a,JoshGlazebrook,smart-buffer,1,1,1
a,JoshGlazebrook,socks,1,1,1
a,Simple_Launcher,Simple_Launcher,6,1,1
a,TooTallNate,agent-base,1,1,1
a,\@gar\/promise-retry,\@gar\/promise-retry,1,1,1
a,\@isaacs\/fs-minipass,\@isaacs\/fs-minipass,1,1,1
a,\@isaacs\/string-locale-compare,\@isaacs\/string-locale-compare,1,1,1
a,\@npmcli\/agent,\@npmcli\/agent,1,1,1
a,\@npmcli\/config,\@npmcli\/config,1,1,1
a,\@npmcli\/fs,\@npmcli\/fs,1,1,1
a,\@npmcli\/git,\@npmcli\/git,1,1,1
a,\@npmcli\/installed-package-contents,\@npmcli\/installed-package-contents,1,1,1
a,\@npmcli\/map-workspaces,\@npmcli\/map-workspaces,1,1,1
a,\@npmcli\/metavuln-calculator,\@npmcli\/metavuln-calculator,1,1,1
a,\@npmcli\/name-from-folder,\@npmcli\/name-from-folder,1,1,1
a,\@npmcli\/node-gyp,\@npmcli\/node-gyp,1,1,1
a,\@npmcli\/package-json,\@npmcli\/package-json,1,1,1
a,\@npmcli\/promise-spawn,\@npmcli\/promise-spawn,1,1,1
a,\@npmcli\/query,\@npmcli\/query,1,1,1
a,\@npmcli\/redact,\@npmcli\/redact,1,1,1
a,\@npmcli\/run-script,\@npmcli\/run-script,1,1,1
a,\@sigstore\/bundle,\@sigstore\/bundle,1,1,1
a,\@sigstore\/core,\@sigstore\/core,1,1,1
a,\@sigstore\/protobuf-specs,\@sigstore\/protobuf-specs,1,1,1
a,\@sigstore\/sign,\@sigstore\/sign,1,1,1
a,\@sigstore\/tuf,\@sigstore\/tuf,1,1,1
a,\@sigstore\/verify,\@sigstore\/verify,1,1,1
a,\@tufjs\/canonical-json,\@tufjs\/canonical-json,1,1,1
a,abbrev,abbrev,1,1,1
a,adduser,adduser,3,2,3
a,alpine-baselayout,alpine-baselayout,1,1,1
a,alpine-baselayout-data,alpine-baselayout-data,1,1,1
a,alpine-keys,alpine-keys,1,1,1
a,alpine-release,alpine-release,1,1,1
a,apk-tools,apk-tools,1,1,1
a,aproba,aproba,1,1,1
a,apt,apt,7,3,7
a,"armin_rigo\,_maciej_fijalkowski_project",python-cffi,1,1,1
a,autoconf,autoconf,2,2,2
a,automake,automake,2,2,2
a,autotools-dev,autotools-dev,2,2,2
a,balanced-match,balanced-match,1,1,1
a,base-files,base-files,7,3,7
a,base-passwd,base-passwd,7,3,7
a,bash,bash,7,3,7
a,beaugunderson,ip-address,1,1,1
a,benjamin_peterson_project,python-six,1,1,1
a,bin-links,bin-links,1,1,1
a,binary-extensions,binary-extensions,1,1,1
a,binutils,binutils,2,2,2
a,binutils-common,binutils-common,2,2,2
a,binutils-x86-64-linux-gnu,binutils-x86-64-linux-gnu,2,2,2
a,bsdutils,bsdutils,7,3,7
a,busybox,busybox,2,2,2
a,busybox-binsh,busybox-binsh,1,1,1
a,bzip2,bzip2,2,2,2
a,ca-certificates,ca-certificates,4,3,4
