case_id,selection_scope,selection_reason,component_id,sbom_name,observed_version,product_runtime_status,upstream_product,normalized_product_version,search_part,search_vendor,search_product,original_cpe,active_exact_match,active_exact_count,active_product_family_match,active_product_family_count,deprecated_exact_match,deprecated_exact_count,deprecated_product_family_match,deprecated_product_family_count,deprecated_by,replacement_chain,resolved_active_cpe,configuration_only_match,configuration_criteria,configuration_match_criteria_id,proposed_gt_cpe,proposed_decision,mapping_branch,discrepancy_fields,review_required,review_reason,evidence_summary
"OPENSSL-01","CORE_REQUIRED","Required PRODUCT_RUNTIME representative","199888","libopenssl3","3.0.14-3","PRODUCT_RUNTIME","OpenSSL","3.0.14","a","openssl","openssl","cpe:2.3:a:libopenssl3:libopenssl3:3.0.14-3:*:*:*:*:*:*:*","true","1","true","339","NOT_EVALUATED_ACTIVE_EXACT_PRECEDENCE","","NOT_EVALUATED_ACTIVE_EXACT_PRECEDENCE","","","","cpe:2.3:a:openssl:openssl:3.0.14:*:*:*:*:*:*:*","NOT_EVALUATED_DICTIONARY_REPRESENTATION_PRESENT","","","cpe:2.3:a:openssl:openssl:3.0.14:*:*:*:*:*:*:*","OFFICIAL_CPE_MAPPED","ACTIVE_EXACT","vendor|product|version","false","","Prior runtime/version rulebooks; fixed Dictionary exact Active title OpenSSL Project OpenSSL 3.0.14; parsed 11-field comparison after selection"
"OPENSSL-02","CORE_REQUIRED","Required PRODUCT_RUNTIME representative","199958","openssl-util","3.0.14-3","PRODUCT_RUNTIME","OpenSSL","3.0.14","a","openssl","openssl","cpe:2.3:a:openssl-util:openssl-util:3.0.14-3:*:*:*:*:*:*:*","true","1","true","339","NOT_EVALUATED_ACTIVE_EXACT_PRECEDENCE","","NOT_EVALUATED_ACTIVE_EXACT_PRECEDENCE","","","","cpe:2.3:a:openssl:openssl:3.0.14:*:*:*:*:*:*:*","NOT_EVALUATED_DICTIONARY_REPRESENTATION_PRESENT","","","cpe:2.3:a:openssl:openssl:3.0.14:*:*:*:*:*:*:*","OFFICIAL_CPE_MAPPED","ACTIVE_EXACT","vendor|product|version","false","","Prior runtime/version rulebooks; fixed Dictionary exact Active title OpenSSL Project OpenSSL 3.0.14; parsed 11-field comparison after selection"
"CURL-01","CORE_REQUIRED","Required PRODUCT_RUNTIME representative","199625","curl","8.11.0-23.2","PRODUCT_RUNTIME","curl command-line tool","8.11.0","a","haxx","curl","cpe:2.3:a:curl:curl:8.11.0-23.2:*:*:*:*:*:*:*","true","1","true","224","NOT_EVALUATED_ACTIVE_EXACT_PRECEDENCE","","NOT_EVALUATED_ACTIVE_EXACT_PRECEDENCE","","","","cpe:2.3:a:haxx:curl:8.11.0:*:*:*:*:*:*:*","NOT_EVALUATED_DICTIONARY_REPRESENTATION_PRESENT","","","cpe:2.3:a:haxx:curl:8.11.0:*:*:*:*:*:*:*","OFFICIAL_CPE_MAPPED","ACTIVE_EXACT","vendor|version","false","","Prior runtime/version rulebooks; fixed Dictionary exact Active title Haxx Curl 8.11.0; curl identity kept separate from libcurl"
"CURL-02","CORE_REQUIRED","Required PRODUCT_RUNTIME representative","199854","libcurl4","8.11.0-23.2","PRODUCT_RUNTIME","libcurl","8.11.0","a","haxx","libcurl","cpe:2.3:a:libcurl4:libcurl4:8.11.0-23.2:*:*:*:*:*:*:*","false","0","true","205","false","0","false","0","","","","NOT_EVALUATED_DICTIONARY_REPRESENTATION_PRESENT","","","cpe:2.3:a:haxx:libcurl:8.11.0:*:*:*:*:*:*:*","VERSION_NOT_IN_DICTIONARY","VERSION_NOT_IN_DICTIONARY","vendor|product|version","false","","No Active or Deprecated exact 8.11.0; Active haxx:libcurl family; generic stable template corroborated by Active 8.12.0; normalized version retained"
"IPTABLES-01","CORE_REQUIRED","Required PRODUCT_RUNTIME representative","199690","iptables","1.8.7-3","PRODUCT_RUNTIME","iptables","1.8.7","a","netfilter","iptables","cpe:2.3:a:iptables:iptables:1.8.7-3:*:*:*:*:*:*:*","false","0","true","77","false","0","false","0","","","","NOT_EVALUATED_DICTIONARY_REPRESENTATION_PRESENT","","","cpe:2.3:a:netfilter:iptables:1.8.7:*:*:*:*:*:*:*","VERSION_NOT_IN_DICTIONARY","VERSION_NOT_IN_DICTIONARY","vendor|version","false","","No Active or Deprecated exact 1.8.7; Active netfilter:iptables family; generic stable template corroborated by Active 1.8.3; normalized version retained"
"IPTABLES-02","CORE_REQUIRED","Required PRODUCT_RUNTIME representative","199684","ip6tables","1.8.7-3","PRODUCT_RUNTIME","iptables/ip6tables","1.8.7","a","netfilter","iptables","cpe:2.3:a:ip6tables:ip6tables:1.8.7-3:*:*:*:*:*:*:*","false","0","true","77","false","0","false","0","","","","NOT_EVALUATED_DICTIONARY_REPRESENTATION_PRESENT","","","cpe:2.3:a:netfilter:iptables:1.8.7:*:*:*:*:*:*:*","VERSION_NOT_IN_DICTIONARY","VERSION_NOT_IN_DICTIONARY","vendor|product|version","false","","Prior identity binds ip6tables runtime to the iptables suite; no exact 1.8.7; Active netfilter:iptables family and unique generic stable template"
"STRONGSWAN-01","CORE_REQUIRED","Required PRODUCT_RUNTIME representative","200023","strongswan","5.9.14-24","PRODUCT_RUNTIME","strongSwan","5.9.14","a","strongswan","strongswan","cpe:2.3:a:strongswan:strongswan:5.9.14-24:*:*:*:*:*:*:*","false","0","true","214","false","0","false","0","","","","NOT_EVALUATED_DICTIONARY_REPRESENTATION_PRESENT","","","cpe:2.3:a:strongswan:strongswan:5.9.14:-:*:*:*:*:*:*","VERSION_NOT_IN_DICTIONARY","VERSION_NOT_IN_DICTIONARY","version|update","false","","No Active or Deprecated exact 5.9.14; Active strongswan family; final-release update=- template corroborated by Active 5.9.12; normalized version retained"
"STRONGSWAN-02","CORE_REQUIRED","Required PRODUCT_RUNTIME representative","199996","strongswan-charon","5.9.14-24","PRODUCT_RUNTIME","strongSwan charon runtime","5.9.14","a","strongswan","strongswan","cpe:2.3:a:strongswan-charon:strongswan-charon:5.9.14-24:*:*:*:*:*:*:*","false","0","true","214","false","0","false","0","","","","NOT_EVALUATED_DICTIONARY_REPRESENTATION_PRESENT","","","cpe:2.3:a:strongswan:strongswan:5.9.14:-:*:*:*:*:*:*","VERSION_NOT_IN_DICTIONARY","VERSION_NOT_IN_DICTIONARY","vendor|product|version|update","false","","Prior identity binds charon runtime to strongSwan product; no exact 5.9.14; stable family template uses update=-; normalized version retained"
"E2FSPROGS-01","CORE_REQUIRED","Required PRODUCT_RUNTIME representative","199661","e2fsprogs","1.47.0-2","PRODUCT_RUNTIME","e2fsprogs","1.47.0","a","e2fsprogs_project","e2fsprogs","cpe:2.3:a:e2fsprogs:e2fsprogs:1.47.0-2:*:*:*:*:*:*:*","false","0","true","109","false","0","false","0","","","","NOT_EVALUATED_DICTIONARY_REPRESENTATION_PRESENT","","","cpe:2.3:a:e2fsprogs_project:e2fsprogs:1.47.0:*:*:*:*:*:*:*","VERSION_NOT_IN_DICTIONARY","VERSION_NOT_IN_DICTIONARY","vendor|version","false","","No Active or Deprecated exact 1.47.0; Active e2fsprogs_project:e2fsprogs family; generic stable template corroborated by Active 1.46.5; normalized version retained"
"LINUX-01","CORE_REQUIRED","Required direct PRODUCT_RUNTIME representative","200193","linux_kernel","5.15.176","PRODUCT_RUNTIME","Linux kernel","5.15.176","o","linux","linux_kernel","cpe:2.3:o:linux:linux_kernel:5.15.176:*:*:*:*:*:*:*","true","1","true","6270","NOT_EVALUATED_ACTIVE_EXACT_PRECEDENCE","","NOT_EVALUATED_ACTIVE_EXACT_PRECEDENCE","","","","cpe:2.3:o:linux:linux_kernel:5.15.176:*:*:*:*:*:*:*","NOT_EVALUATED_DICTIONARY_REPRESENTATION_PRESENT","","","cpe:2.3:o:linux:linux_kernel:5.15.176:*:*:*:*:*:*:*","CPE_CONFIRMED","ACTIVE_EXACT","NONE","false","","Prior direct runtime/version evidence; fixed Dictionary unique exact Active Linux Kernel 5.15.176; parsed Original equals proposed 11-field tuple"
"DATEGIT-01","ADDITIONAL_BRANCH_COVERAGE","Previously validated PRODUCT_RUNTIME with non-null normalized version; minimal addition for NO_DIRECT_CPE branch","199949","netifd","2024-01-04-c18cc79d-16","PRODUCT_RUNTIME","OpenWrt netifd","2024-01-04-c18cc79d","a","openwrt","netifd","cpe:2.3:a:netifd:netifd:2024-01-04-c18cc79d-16:*:*:*:*:*:*:*","false","0","false","0","false","0","false","0","","","","false","","","","DIRECT_OFFICIAL_CPE_NOT_CONFIRMED","NO_DIRECT_CPE","N/A","false","","Prior runtime/version rulebooks verify identity and snapshot version; fixed Dictionary product-wide netifd count=0; fixed NVD Configuration product-wide netifd occurrence count=0; no GT CPE forced"
