component_id,name,observed_version,original_cpe,source,source_name,description,payload_summary,actual_product,actual_vendor,actual_product_version,product_classification,product_reason,product_evidence,version_reason,version_evidence,cpe_family,cpe_family_binding_basis,cpe_resolution_path,active_exact_match,deprecated_match,deprecated_resolution,resolved_active_cpe,configuration_gate_passed,configuration_only_match,configuration_criteria,proposed_gt_cpe,proposed_decision,decision_reason,discrepancy_fields,evidence_strength,human_validation_required,human_validation_reason,exact_firmware_evidence
199618,api-core,1,cpe:2.3:a:api-core:api-core:1:*:*:*:*:*:*:*,feeds/vuci/api-core,api-core,Provides core API functionality,files=77; exec=9; lib=0; plugin=66; kmod=0; paths=/sbin/event_server | /sbin/tls_generate_lua | /usr/lib/lua/vuci/usb.lua | /usr/lib/lua/api/post_logic.lua | /etc/init.d/event_server | /etc/config/vuci,api core,Teltonika,1,DIRECT_SUBCOMPONENT_NO_PARENT_INHERITANCE,"VuCI API/UI package is a feature module of the firmware interface, not an independently versioned parent product.",Exact control/list/status: Source=feeds/vuci/api-core; role=PLUGIN_OR_MODULE; Description=Provides core API functionality; paths=/sbin/event_server | /sbin/tls_generate_lua | /usr/lib/lua/vuci/usb.lua | /usr/lib/lua/api/post_logic.lua | /etc/init.d/event_server | /etc/config/vuci,OBSERVED_COMPONENT_VERSION_PRESERVED_NO_PARENT_MAPPING,Exact installed control Version equals the SBOM version; no parent product version is inferred.,,,NO_DIRECT_CPE,,,NOT_ENCOUNTERED,,false,false,,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NON_DIRECT_SUBCOMPONENT,N/A,MODERATE,false,,control=/usr/lib/opkg/info/api-core.control; list=/usr/lib/opkg/info/api-core.list; status_version_matches=True
199619,apn_db,7.13.0.2,cpe:2.3:a:apn_db:apn_db:7.13.0.2:*:*:*:*:*:*:*,package/teltonika/apn_db,apn_db,One APN database for all projects,files=3; exec=2; lib=0; plugin=0; kmod=0; paths=/usr/local/bin/backup_apn_db | /usr/local/share/mobifd/apn.db.gz | /etc/uci-defaults/etc/99_apn_db,apn db,Teltonika,7.13.0.2,PRODUCT_IDENTITY_CONFIRMED,"Exact vendor control, description, and installed payload establish this internal software product/library without inheriting another Source product.",Source=package/teltonika/apn_db; Description=One APN database for all projects; paths=/usr/local/bin/backup_apn_db | /usr/local/share/mobifd/apn.db.gz | /etc/uci-defaults/etc/99_apn_db; siblings=apn_db,VENDOR_PRODUCT_IDENTIFIER_PRESERVED,The complete exact installed vendor Version is preserved; no unproved package-release suffix is removed.,a:teltonika:apn_db,EXACT_VENDOR_AND_PRODUCT_IDENTITY_TUPLE,NO_DIRECT_CPE,,,NOT_ENCOUNTERED,,true,false,,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NO_CPE_REPRESENTATION,N/A,MODERATE,true,PRODUCT_WITHOUT_CONFIRMED_DIRECT_CPE,control=/usr/lib/opkg/info/apn_db.control; list=/usr/lib/opkg/info/apn_db.list; status_version_matches=True
199620,avl,2025-04-29-2,cpe:2.3:a:avl:avl:2025-04-29-2:*:*:*:*:*:*:*,package/teltonika/gps,avl,Daemon for sending data to AVL server.,files=3; exec=1; lib=0; plugin=0; kmod=0; paths=/usr/sbin/avl | /etc/config/avl | /etc/init.d/avl,AVL Sender,Teltonika,2025-04-29-2,PRODUCT_IDENTITY_CONFIRMED,"Exact vendor control, description, and installed payload establish this internal software product/library without inheriting another Source product.",Source=package/teltonika/gps; Description=Daemon for sending data to AVL server.; paths=/usr/sbin/avl | /etc/config/avl | /etc/init.d/avl; siblings=avl | gpsctl | gpsd | libgps | ntp_gps,VENDOR_PRODUCT_IDENTIFIER_PRESERVED,The complete exact installed vendor Version is preserved; no unproved package-release suffix is removed.,a:teltonika:avl_sender,EXACT_VENDOR_AND_PRODUCT_IDENTITY_TUPLE,NO_DIRECT_CPE,,,NOT_ENCOUNTERED,,true,false,,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NO_CPE_REPRESENTATION,N/A,MODERATE,true,PRODUCT_WITHOUT_CONFIRMED_DIRECT_CPE,control=/usr/lib/opkg/info/avl.control; list=/usr/lib/opkg/info/avl.list; status_version_matches=True
199621,base-files,2606-r16279-5cc0535800,cpe:2.3:a:base-files:base-files:2606-r16279-5cc0535800:*:*:*:*:*:*:*,package/base-files,base-files,This package contains a base filesystem and system scripts for OpenWrt.,files=93; exec=14; lib=0; plugin=0; kmod=0; paths=/bin/config_generate | /sbin/user_defaults | /etc/opkg/openwrt/distfeeds.conf | /etc/proprietary_keys/780b53e9434e73a6 | /lib/functions/uci-defaults.sh | /lib/upgrade/fwtool.sh | /var | /lib/preinit/10_indicate_preinit,base files,OpenWrt/upstream source,2606-r16279-5cc0535800,DIRECT_SUBCOMPONENT_NO_PARENT_INHERITANCE,"Package payload is a configuration, split support, suite library, or optional subsystem; no parent CPE is inherited.",Exact control/list/status: Source=package/base-files; role=PRODUCT_OR_MAIN_PACKAGE; Description=This package contains a base filesystem and system scripts for OpenWrt.; paths=/bin/config_generate | /sbin/user_defaults | /etc/opkg/openwrt/distfeeds.conf | /etc/proprietary_keys/780b53e9434e73a6 | /lib/functions/uci-defaults.sh | /lib/upgrade/fwtool.sh | /var | /lib/preinit/10_indicate_preinit,OBSERVED_COMPONENT_VERSION_PRESERVED_NO_PARENT_MAPPING,Exact installed control Version equals the SBOM version; no parent product version is inferred.,,,NO_DIRECT_CPE,,,NOT_ENCOUNTERED,,false,false,,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NON_DIRECT_SUBCOMPONENT,N/A,MODERATE,false,,control=/usr/lib/opkg/info/base-files.control; list=/usr/lib/opkg/info/base-files.list; status_version_matches=True
199622,block-mount,2022-05-03-9e11b372-28,cpe:2.3:a:block-mount:block-mount:2022-05-03-9e11b372-28:*:*:*:*:*:*:*,package/system/fstools,block-mount,Block device mounting and checking,files=9; exec=3; lib=1; plugin=0; kmod=0; paths=/usr/sbin/swapon | /usr/sbin/swapoff | /lib/libblkid-tiny.so | /etc/hotplug.d/block/00-media-change | /etc/uci-defaults/etc/10_fstab-fstools,block mount,OpenWrt/upstream source,2022-05-03-9e11b372-28,DIRECT_SUBCOMPONENT_NO_PARENT_INHERITANCE,"Package payload is a configuration, split support, suite library, or optional subsystem; no parent CPE is inherited.",Exact control/list/status: Source=package/system/fstools; role=SPLIT_RUNTIME_PACKAGE; Description=Block device mounting and checking; paths=/usr/sbin/swapon | /usr/sbin/swapoff | /lib/libblkid-tiny.so | /etc/hotplug.d/block/00-media-change | /etc/uci-defaults/etc/10_fstab-fstools,OBSERVED_COMPONENT_VERSION_PRESERVED_NO_PARENT_MAPPING,Exact installed control Version equals the SBOM version; no parent product version is inferred.,,,NO_DIRECT_CPE,,,NOT_ENCOUNTERED,,false,false,,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NON_DIRECT_SUBCOMPONENT,N/A,MODERATE,false,,control=/usr/lib/opkg/info/block-mount.control; list=/usr/lib/opkg/info/block-mount.list; status_version_matches=True
199623,busybox,1.34.1-79.7,cpe:2.3:a:busybox:busybox:1.34.1-79.7:*:*:*:*:*:*:*,package/utils/busybox,busybox,"The Swiss Army Knife of embedded Linux.
It slices, it dices, it makes Julian Fries.",files=139; exec=131; lib=0; plugin=0; kmod=0; paths=/bin/dmesg | /usr/bin/id | /etc/init.d/cron | /etc/config/ntpserver | /usr/share/acl.d/ntpd.json | /lib/upgrade/keep.d/busybox,BusyBox,BusyBox,1.34.1,PRODUCT_IDENTITY_CONFIRMED,The exact package description and installed core executable/library identify the named upstream product; package role was not used as a hard gate.,"Source=package/utils/busybox; Description=The Swiss Army Knife of embedded Linux.
It slices, it dices, it makes Julian Fries.; paths=/bin/dmesg | /usr/bin/id | /etc/init.d/cron | /etc/config/ntpserver | /usr/share/acl.d/ntpd.json | /lib/upgrade/keep.d/busybox; siblings=busybox",PRODUCT_SPECIFIC_UPSTREAM_VERSION_NORMALIZATION,Observed 1.34.1-79.7 was normalized to 1.34.1 using the exact package/source structure and product-specific official release evidence.,a:busybox:busybox,VERIFIED_UPSTREAM_TO_CPE_FAMILY,ACTIVE_EXACT,cpe:2.3:a:busybox:busybox:1.34.1:*:*:*:*:*:*:*,,NOT_ENCOUNTERED,,false,false,,cpe:2.3:a:busybox:busybox:1.34.1:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,ACTIVE_EXACT,"[""VERSION""]",STRONG,true,PROPOSED_GT_CPE_CONFIRMATION,control=/usr/lib/opkg/info/busybox.control; list=/usr/lib/opkg/info/busybox.list; status_version_matches=True
199624,ca-bundle,20240203-1,cpe:2.3:a:ca-bundle:ca-bundle:20240203-1:*:*:*:*:*:*:*,package/system/ca-certificates,ca-bundle,System CA certificates as a bundle,files=3; exec=0; lib=0; plugin=0; kmod=0; paths=/etc/cacert.pem | /etc/ssl/certs/ca-certificates.crt,ca bundle,OpenWrt/upstream source,20240203-1,DIRECT_SUBCOMPONENT_NO_PARENT_INHERITANCE,Exact metadata identifies a meta/helper/data artifact rather than an independently mapped software product.,Exact control/list/status: Source=package/system/ca-certificates; role=META_OR_HELPER_PACKAGE; Description=System CA certificates as a bundle; paths=/etc/cacert.pem | /etc/ssl/certs/ca-certificates.crt,OBSERVED_COMPONENT_VERSION_PRESERVED_NO_PARENT_MAPPING,Exact installed control Version equals the SBOM version; no parent product version is inferred.,,,NO_DIRECT_CPE,,,NOT_ENCOUNTERED,,false,false,,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NON_DIRECT_SUBCOMPONENT,N/A,MODERATE,false,,control=/usr/lib/opkg/info/ca-bundle.control; list=/usr/lib/opkg/info/ca-bundle.list; status_version_matches=True
199625,curl,8.11.0-23.2,cpe:2.3:a:curl:curl:8.11.0-23.2:*:*:*:*:*:*:*,package/network/utils/curl,curl,A client-side URL transfer utility,files=1; exec=1; lib=0; plugin=0; kmod=0; paths=/usr/bin/curl,curl,curl project,8.11.0,PRODUCT_IDENTITY_CONFIRMED,The exact package description and installed core executable/library identify the named upstream product; package role was not used as a hard gate.,Source=package/network/utils/curl; Description=A client-side URL transfer utility; paths=/usr/bin/curl; siblings=curl | libcurl4,PRODUCT_SPECIFIC_UPSTREAM_VERSION_NORMALIZATION,Observed 8.11.0-23.2 was normalized to 8.11.0 using the exact package/source structure and product-specific official release evidence.,a:haxx:curl,VERIFIED_UPSTREAM_TO_CPE_FAMILY,ACTIVE_EXACT,cpe:2.3:a:haxx:curl:8.11.0:*:*:*:*:*:*:*,,NOT_ENCOUNTERED,,false,false,,cpe:2.3:a:haxx:curl:8.11.0:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,ACTIVE_EXACT,"[""VENDOR"", ""VERSION""]",STRONG,true,PROPOSED_GT_CPE_CONFIRMATION,control=/usr/lib/opkg/info/curl.control; list=/usr/lib/opkg/info/curl.list; status_version_matches=True
199626,data-sender-api-mod-format-custom,1,cpe:2.3:a:data-sender-api-mod-format-custom:data-sender-api-mod-format-custom:1:*:*:*:*:*:*:*,feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api,data-sender-api-mod-format-custom,Vuci Data Sender API Format Custom module,files=1; exec=0; lib=0; plugin=1; kmod=0; paths=/usr/lib/lua/api/services/ds_formats/ds_format_custom.lua,data sender api mod format custom,Teltonika,1,DIRECT_SUBCOMPONENT_NO_PARENT_INHERITANCE,"VuCI API/UI package is a feature module of the firmware interface, not an independently versioned parent product.",Exact control/list/status: Source=feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api; role=PLUGIN_OR_MODULE; Description=Vuci Data Sender API Format Custom module; paths=/usr/lib/lua/api/services/ds_formats/ds_format_custom.lua,OBSERVED_COMPONENT_VERSION_PRESERVED_NO_PARENT_MAPPING,Exact installed control Version equals the SBOM version; no parent product version is inferred.,,,NO_DIRECT_CPE,,,NOT_ENCOUNTERED,,false,false,,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NON_DIRECT_SUBCOMPONENT,N/A,MODERATE,false,,control=/usr/lib/opkg/info/data-sender-api-mod-format-custom.control; list=/usr/lib/opkg/info/data-sender-api-mod-format-custom.list; status_version_matches=True
199627,data-sender-api-mod-gsm,1,cpe:2.3:a:data-sender-api-mod-gsm:data-sender-api-mod-gsm:1:*:*:*:*:*:*:*,feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api,data-sender-api-mod-gsm,Vuci Data Sender API GSM module,files=1; exec=0; lib=0; plugin=1; kmod=0; paths=/usr/lib/lua/api/services/ds_inputs/ds_input_gsm.lua,data sender api mod gsm,Teltonika,1,DIRECT_SUBCOMPONENT_NO_PARENT_INHERITANCE,"VuCI API/UI package is a feature module of the firmware interface, not an independently versioned parent product.",Exact control/list/status: Source=feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api; role=PLUGIN_OR_MODULE; Description=Vuci Data Sender API GSM module; paths=/usr/lib/lua/api/services/ds_inputs/ds_input_gsm.lua,OBSERVED_COMPONENT_VERSION_PRESERVED_NO_PARENT_MAPPING,Exact installed control Version equals the SBOM version; no parent product version is inferred.,,,NO_DIRECT_CPE,,,NOT_ENCOUNTERED,,false,false,,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NON_DIRECT_SUBCOMPONENT,N/A,MODERATE,false,,control=/usr/lib/opkg/info/data-sender-api-mod-gsm.control; list=/usr/lib/opkg/info/data-sender-api-mod-gsm.list; status_version_matches=True
