component_id,name,part,vendor,product,dictionary_active_tuple_count,dictionary_deprecated_tuple_count,configuration_gate_passed,configuration_match,criteria,match_criteria_id,criteria_version,version_start_including,version_start_excluding,version_end_including,version_end_excluding,occurrence_count,distinct_cve_count,stable_template_status,proposed_gt_cpe,human_validation_required,notes
199619,apn_db,a,teltonika,apn_db,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199620,avl,a,teltonika,avl_sender,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199652,data-sender,a,teltonika,data_sender,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199654,ddns-scripts,a,teltonika,ddns_scripts,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199658,dfota,a,teltonika,dfota,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199662,esim-lpac,a,teltonika,lpac_manager,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199664,event-juggler,a,teltonika,event_juggler,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199666,ezopcua,a,teltonika,ezopcua,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199667,firewall,a,openwrt,firewall,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199668,fmt-usb-msd,a,teltonika,fmt_usb_msd,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199669,fstools,a,openwrt,fstools,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199670,fwcert,a,openwrt,fwcert,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199671,fwtool,a,openwrt,fwtool,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199672,getrandom,a,openwrt,ubox,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199673,gkeepalive,a,teltonika,gkeepalive,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199674,gpiod-tools,a,libgpiod_project,libgpiod,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199675,gpsctl,a,teltonika,teltonika_gps_service,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199676,gpsd,a,teltonika,teltonika_gps_service,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199678,gsmctl,a,teltonika,teltonika_gsm_service,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199679,gsmd,a,teltonika,teltonika_gsm_service,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199681,io_scheduler,a,teltonika,io_scheduler,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199682,iomand1.0,a,teltonika,iomand1.0,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199685,ip_blockd,a,teltonika,ip_blockd,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199692,iwinfo,a,openwrt,iwinfo,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199693,jshn,a,openwrt,libubox,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199694,jsonfilter,a,openwrt,jsonfilter,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199839,ledman-full,a,teltonika,ledman_full,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
199840,libapi20241125,a,teltonika,libapi20241125,0,0,true,false,,,,,,,,0,0,NOT_APPLICABLE_NO_MATCH,,false,Gate passed; fixed NVD snapshot contains no criteria for the verified tuple.
