component_id,name,observed_version,source,source_name,description,representative_paths,pass_a_status,audited_actual_product,audited_actual_vendor,audited_product_version,pass_a_product_evidence,pass_a_version_evidence,evidence_references,audit_evidence_strength,circular_evidence_risk,audited_cpe_family,active_family_count,deprecated_family_count,active_exact_any_count,active_exact_compatible_count,deprecated_exact_compatible_count,family_template_observation_count,audited_cpe_resolution_path,audited_gt_cpe,audited_validation_result,audited_discrepancy_fields,final_gt_is_deprecated,current_actual_product,current_product_version,current_gt_cpe,current_validation_result,current_discrepancy_fields,comparison_status,final_audit_status,product_correction,version_correction,gt_cpe_correction,validation_result_correction,discrepancy_field_correction,recommended_value,correction_reason,notes
199623,busybox,1.34.1-79.7,package/utils/busybox,busybox,"The Swiss Army Knife of embedded Linux.
It slices, it dices, it makes Julian Fries.",/bin/dmesg | /usr/bin/id | /etc/init.d/cron | /etc/config/ntpserver | /usr/share/acl.d/ntpd.json | /lib/upgrade/keep.d/busybox,PRODUCT_VERSION_CONFIRMED,BusyBox,BusyBox,1.34.1,"Exact firmware metadata names busybox; Source=package/utils/busybox; Description=The Swiss Army Knife of embedded Linux.
It slices, it dices, it makes Julian Fries.; installed payload=/bin/dmesg | /usr/bin/id | /etc/init.d/cron | /etc/config/ntpserver | /usr/share/acl.d/ntpd.json | /lib/upgrade/keep.d/busybox. These fields identify the BusyBox product boundary without Original CPE or control CPE-ID input.",Exact installed Version 1.34.1-79.7 and Source package/utils/busybox identify upstream version 1.34.1; only the product-specific OpenWrt package-release portion is removed.,"[""LOCAL-01"", ""LOCAL-02"", ""UP-OPENWRT-POLICY"", ""UP-BUSYBOX-1.34.1""]",STRONG,false,a:busybox:busybox,163,2,1,1,0,146,ACTIVE_EXACT,cpe:2.3:a:busybox:busybox:1.34.1:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,"[""VERSION""]",false,BusyBox,1.34.1,cpe:2.3:a:busybox:busybox:1.34.1:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,"[""VERSION""]",NO_CHANGE,ACCEPTED,false,false,false,false,false,{},,"Pass A received no Original CPE, control CPE-ID, current GT CPE, or current validation result. Current values were introduced only after independent Pass B resolution."
199625,curl,8.11.0-23.2,package/network/utils/curl,curl,A client-side URL transfer utility,/usr/bin/curl,PRODUCT_VERSION_CONFIRMED,curl,curl project,8.11.0,Exact firmware metadata names curl; Source=package/network/utils/curl; Description=A client-side URL transfer utility; installed payload=/usr/bin/curl. These fields identify the curl product boundary without Original CPE or control CPE-ID input.,Exact installed Version 8.11.0-23.2 and Source package/network/utils/curl identify upstream version 8.11.0; only the product-specific OpenWrt package-release portion is removed.,"[""LOCAL-01"", ""LOCAL-02"", ""LOCAL-04"", ""LOCAL-06"", ""UP-OPENWRT-POLICY""]",STRONG,false,a:haxx:curl,224,0,1,1,0,217,ACTIVE_EXACT,cpe:2.3:a:haxx:curl:8.11.0:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,"[""VENDOR"", ""VERSION""]",false,curl,8.11.0,cpe:2.3:a:haxx:curl:8.11.0:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,"[""VENDOR"", ""VERSION""]",NO_CHANGE,ACCEPTED,false,false,false,false,false,{},,"Pass A received no Original CPE, control CPE-ID, current GT CPE, or current validation result. Current values were introduced only after independent Pass B resolution."
199653,davici,1.4-1,package/libs/davici,davici,"The davici library provides a client implementation of the
strongSwan VICI protocol for integration into external applications.",/usr/lib/libdavici.so | /usr/lib/libdavici.so.0.1.0,PRODUCT_VERSION_CONFIRMED,davici,strongSwan,1.4,"Exact firmware metadata names davici; Source=package/libs/davici; Description=The davici library provides a client implementation of the
strongSwan VICI protocol for integration into external applications.; installed payload=/usr/lib/libdavici.so | /usr/lib/libdavici.so.0.1.0. These fields identify the davici product boundary without Original CPE or control CPE-ID input.",Exact installed Version 1.4-1 and Source package/libs/davici identify upstream version 1.4; only the product-specific OpenWrt package-release portion is removed.,"[""LOCAL-01"", ""LOCAL-02"", ""UP-OPENWRT-POLICY""]",MODERATE,false,a:strongswan:davici,5,0,0,0,0,5,VERSION_NOT_IN_DICTIONARY,cpe:2.3:a:strongswan:davici:1.4:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,"[""VENDOR"", ""VERSION""]",false,davici,1.4,cpe:2.3:a:strongswan:davici:1.4:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,"[""VENDOR"", ""VERSION""]",NO_CHANGE,ACCEPTED,false,false,false,false,false,{},,"Pass A received no Original CPE, control CPE-ID, current GT CPE, or current validation result. Current values were introduced only after independent Pass B resolution."
199659,dnsmasq,2.89-42.4,package/network/services/dnsmasq,dnsmasq,It is intended to provide coupled DNS and DHCP service to a LAN.,/usr/sbin/dhcpinfo.sh | /usr/lib/dnsmasq/dhcp-script.sh | /etc/dnsmasq.conf | /etc/config/dhcp | /usr/share/dnsmasq/rfc6761.conf | /usr/share/acl.d/dnsmasq_acl.json | /lib/upgrade/keep.d/dnsmasq,PRODUCT_VERSION_CONFIRMED,dnsmasq,Thekelleys,2.89,Exact firmware metadata names dnsmasq; Source=package/network/services/dnsmasq; Description=It is intended to provide coupled DNS and DHCP service to a LAN.; installed payload=/usr/sbin/dhcpinfo.sh | /usr/lib/dnsmasq/dhcp-script.sh | /etc/dnsmasq.conf | /etc/config/dhcp | /usr/share/dnsmasq/rfc6761.conf | /usr/share/acl.d/dnsmasq_acl.json | /lib/upgrade/keep.d/dnsmasq. These fields identify the dnsmasq product boundary without Original CPE or control CPE-ID input.,Exact installed Version 2.89-42.4 and Source package/network/services/dnsmasq identify upstream version 2.89; only the product-specific OpenWrt package-release portion is removed.,"[""LOCAL-01"", ""LOCAL-02"", ""UP-OPENWRT-POLICY""]",MODERATE,false,a:thekelleys:dnsmasq,132,0,1,1,0,117,ACTIVE_EXACT,cpe:2.3:a:thekelleys:dnsmasq:2.89:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,"[""VENDOR"", ""VERSION""]",false,dnsmasq,2.89,cpe:2.3:a:thekelleys:dnsmasq:2.89:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,"[""VENDOR"", ""VERSION""]",NO_CHANGE,ACCEPTED,false,false,false,false,false,{},,"Pass A received no Original CPE, control CPE-ID, current GT CPE, or current validation result. Current values were introduced only after independent Pass B resolution."
199660,dropbear,2020.81-3,package/network/services/dropbear,dropbear,A small SSH2 server/client designed for small memory environments.,/usr/bin/dbclient | /usr/bin/dropbearkey | /etc/dropbear/dropbear_ed25519_host_key | /etc/init.d/dropbear | /lib/preinit/99_10_failsafe_dropbear,PRODUCT_VERSION_CONFIRMED,Dropbear SSH,Dropbear SSH project,2020.81,Exact firmware metadata names dropbear; Source=package/network/services/dropbear; Description=A small SSH2 server/client designed for small memory environments.; installed payload=/usr/bin/dbclient | /usr/bin/dropbearkey | /etc/dropbear/dropbear_ed25519_host_key | /etc/init.d/dropbear | /lib/preinit/99_10_failsafe_dropbear. These fields identify the Dropbear SSH product boundary without Original CPE or control CPE-ID input.,Exact installed Version 2020.81-3 and Source package/network/services/dropbear identify upstream version 2020.81; only the product-specific OpenWrt package-release portion is removed.,"[""LOCAL-01"", ""LOCAL-02"", ""UP-OPENWRT-POLICY"", ""UP-DROPBEAR-2020.81""]",STRONG,false,a:dropbear_ssh_project:dropbear_ssh,62,0,1,1,0,57,ACTIVE_EXACT,cpe:2.3:a:dropbear_ssh_project:dropbear_ssh:2020.81:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,"[""VENDOR"", ""PRODUCT"", ""VERSION""]",false,Dropbear SSH,2020.81,cpe:2.3:a:dropbear_ssh_project:dropbear_ssh:2020.81:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,"[""VENDOR"", ""PRODUCT"", ""VERSION""]",NO_CHANGE,ACCEPTED,false,false,false,false,false,{},,"Pass A received no Original CPE, control CPE-ID, current GT CPE, or current validation result. Current values were introduced only after independent Pass B resolution."
199661,e2fsprogs,1.47.0-2,package/utils/e2fsprogs,e2fsprogs,"This package contains essential ext2 filesystem utilities which consists of
e2fsck, mke2fs and most of the other core ext2 filesystem utilities.",/usr/sbin/mkfs.ext2 | /usr/sbin/mkfs.ext3 | /usr/lib/libe2p.so.2 | /usr/lib/libe2p.so.2.3,PRODUCT_VERSION_CONFIRMED,e2fsprogs,e2fsprogs project,1.47.0,"Exact firmware metadata names e2fsprogs; Source=package/utils/e2fsprogs; Description=This package contains essential ext2 filesystem utilities which consists of
e2fsck, mke2fs and most of the other core ext2 filesystem utilities.; installed payload=/usr/sbin/mkfs.ext2 | /usr/sbin/mkfs.ext3 | /usr/lib/libe2p.so.2 | /usr/lib/libe2p.so.2.3. These fields identify the e2fsprogs product boundary without Original CPE or control CPE-ID input.",Exact installed Version 1.47.0-2 and Source package/utils/e2fsprogs identify upstream version 1.47.0; only the product-specific OpenWrt package-release portion is removed.,"[""LOCAL-01"", ""LOCAL-02"", ""LOCAL-04"", ""LOCAL-06"", ""UP-OPENWRT-POLICY""]",STRONG,false,a:e2fsprogs_project:e2fsprogs,109,0,0,0,0,108,VERSION_NOT_IN_DICTIONARY,cpe:2.3:a:e2fsprogs_project:e2fsprogs:1.47.0:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,"[""VENDOR"", ""VERSION""]",false,e2fsprogs,1.47.0,cpe:2.3:a:e2fsprogs_project:e2fsprogs:1.47.0:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,"[""VENDOR"", ""VERSION""]",NO_CHANGE,ACCEPTED,false,false,false,false,false,{},,"Pass A received no Original CPE, control CPE-ID, current GT CPE, or current validation result. Current values were introduced only after independent Pass B resolution."
199663,ethtool,5.10-1,package/network/utils/ethtool,ethtool,"ethtool is a small utility for examining and tuning your ethernet-based
network interface",/usr/sbin/ethtool,PRODUCT_VERSION_CONFIRMED,ethtool,Linux kernel project,5.10,"Exact firmware metadata names ethtool; Source=package/network/utils/ethtool; Description=ethtool is a small utility for examining and tuning your ethernet-based
network interface; installed payload=/usr/sbin/ethtool. These fields identify the ethtool product boundary without Original CPE or control CPE-ID input.",Exact installed Version 5.10-1 and Source package/network/utils/ethtool identify upstream version 5.10; only the product-specific OpenWrt package-release portion is removed.,"[""LOCAL-01"", ""LOCAL-02"", ""UP-OPENWRT-POLICY"", ""UP-ETHTOOL""]",STRONG,false,a:kernel:ethtool,40,0,0,0,0,40,VERSION_NOT_IN_DICTIONARY,cpe:2.3:a:kernel:ethtool:5.10:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,"[""VENDOR"", ""VERSION""]",false,ethtool,5.10,cpe:2.3:a:kernel:ethtool:5.10:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,"[""VENDOR"", ""VERSION""]",NO_CHANGE,ACCEPTED,false,false,false,false,false,{},,"Pass A received no Original CPE, control CPE-ID, current GT CPE, or current validation result. Current values were introduced only after independent Pass B resolution."
199665,exfat-mkfs,1.1.3-4,package/utils/exfatprogs,exfat-mkfs,Utility for creating an exFAT File System,/usr/sbin/mkfs.exfat,PRODUCT_VERSION_CONFIRMED,exfatprogs,exfatprogs project,1.1.3,Exact firmware metadata names exfat-mkfs; Source=package/utils/exfatprogs; Description=Utility for creating an exFAT File System; installed payload=/usr/sbin/mkfs.exfat. These fields identify the exfatprogs product boundary without Original CPE or control CPE-ID input.,Exact installed Version 1.1.3-4 and Source package/utils/exfatprogs identify upstream version 1.1.3; only the product-specific OpenWrt package-release portion is removed.,"[""LOCAL-01"", ""LOCAL-02"", ""UP-OPENWRT-POLICY""]",MODERATE,false,a:namjaejeon:exfatprogs,12,0,1,1,0,12,ACTIVE_EXACT,cpe:2.3:a:namjaejeon:exfatprogs:1.1.3:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,"[""VENDOR"", ""PRODUCT"", ""VERSION""]",false,exfatprogs,1.1.3,cpe:2.3:a:namjaejeon:exfatprogs:1.1.3:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,"[""VENDOR"", ""PRODUCT"", ""VERSION""]",NO_CHANGE,ACCEPTED,false,false,false,false,false,{},,"Pass A received no Original CPE, control CPE-ID, current GT CPE, or current validation result. Current values were introduced only after independent Pass B resolution."
199683,ip-full,5.19.0-8,package/network/utils/iproute2,ip-full,Routing control utility (full),/usr/libexec/ip-full,PRODUCT_VERSION_CONFIRMED,iproute2,iproute2 project,5.19.0,Exact firmware metadata names ip-full; Source=package/network/utils/iproute2; Description=Routing control utility (full); installed payload=/usr/libexec/ip-full. These fields identify the iproute2 product boundary without Original CPE or control CPE-ID input.,Exact installed Version 5.19.0-8 and Source package/network/utils/iproute2 identify upstream version 5.19.0; only the product-specific OpenWrt package-release portion is removed.,"[""LOCAL-01"", ""LOCAL-02"", ""UP-OPENWRT-POLICY""]",MODERATE,false,a:iproute2_project:iproute2,49,0,0,0,0,49,VERSION_NOT_IN_DICTIONARY,cpe:2.3:a:iproute2_project:iproute2:5.19.0:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,"[""VENDOR"", ""PRODUCT"", ""VERSION""]",false,iproute2,5.19.0,cpe:2.3:a:iproute2_project:iproute2:5.19.0:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,"[""VENDOR"", ""PRODUCT"", ""VERSION""]",NO_CHANGE,ACCEPTED,false,false,false,false,false,{},,"Pass A received no Original CPE, control CPE-ID, current GT CPE, or current validation result. Current values were introduced only after independent Pass B resolution."
199686,ipset,7.6-1,package/network/utils/ipset,ipset,IPset administration utility,/usr/sbin/ipset,PRODUCT_VERSION_CONFIRMED,ipset,Netfilter,7.6,Exact firmware metadata names ipset; Source=package/network/utils/ipset; Description=IPset administration utility; installed payload=/usr/sbin/ipset. These fields identify the ipset product boundary without Original CPE or control CPE-ID input.,Exact installed Version 7.6-1 and Source package/network/utils/ipset identify upstream version 7.6; only the product-specific OpenWrt package-release portion is removed.,"[""LOCAL-01"", ""LOCAL-02"", ""UP-OPENWRT-POLICY"", ""UP-IPSET-7.6"", ""UP-IPSET-STRUCTURE""]",STRONG,false,a:netfilter:ipset,79,0,0,0,0,68,VERSION_NOT_IN_DICTIONARY,cpe:2.3:a:netfilter:ipset:7.6:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,"[""VENDOR"", ""VERSION""]",false,ipset,7.6,cpe:2.3:a:netfilter:ipset:7.6:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,"[""VENDOR"", ""VERSION""]",NO_CHANGE,ACCEPTED,false,false,false,false,false,{},,"Pass A received no Original CPE, control CPE-ID, current GT CPE, or current validation result. Current values were introduced only after independent Pass B resolution."
