component_id,component_name,sbom_version,source,source_name,description,depends,representative_paths,sibling_packages,package_role,product_identity_status,actual_product,actual_product_version,canonical_gt_cpe,group_type,duplicate_group_id,duplicate_group_status,representative_component,current_gt_cpe,recommended_gt_cpe,current_validation_result,recommended_validation_result,recommendation,reason,expected_discrepancy_after_change,exact_firmware_evidence
199623,busybox,1.34.1-79.7,package/utils/busybox,busybox,"The Swiss Army Knife of embedded Linux.
It slices, it dices, it makes Julian Fries.","libc, jsonfilter, libubus20210630, libubox20240329, liblog, liblog, libnetifd, libuci20130104",/bin/dmesg | /usr/bin/id | /etc/init.d/cron | /etc/config/ntpserver | /usr/share/acl.d/ntpd.json | /lib/upgrade/keep.d/busybox,busybox,PRODUCT_OR_MAIN_PACKAGE,DIRECT_PRODUCT_CANDIDATE,BusyBox,1.34.1,cpe:2.3:a:busybox:busybox:1.34.1:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,busybox,cpe:2.3:a:busybox:busybox:1.34.1:*:*:*:*:*:*:*,cpe:2.3:a:busybox:busybox:1.34.1:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,OFFICIAL_CPE_MAPPED,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/busybox.control; list=/usr/lib/opkg/info/busybox.list; status_version_matches=True
199625,curl,8.11.0-23.2,package/network/utils/curl,curl,A client-side URL transfer utility,"libc, libcurl4",/usr/bin/curl,curl | libcurl4,UTILITY_OR_CLI_PACKAGE,POSSIBLE_PRODUCT_CANDIDATE,curl,8.11.0,cpe:2.3:a:haxx:curl:8.11.0:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,curl,cpe:2.3:a:haxx:curl:8.11.0:*:*:*:*:*:*:*,cpe:2.3:a:haxx:curl:8.11.0:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,OFFICIAL_CPE_MAPPED,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/curl.control; list=/usr/lib/opkg/info/curl.list; status_version_matches=True
199653,davici,1.4-1,package/libs/davici,davici,"The davici library provides a client implementation of the
strongSwan VICI protocol for integration into external applications.",libc,/usr/lib/libdavici.so | /usr/lib/libdavici.so.0.1.0,davici,LIBRARY_PACKAGE,AMBIGUOUS,davici,1.4,cpe:2.3:a:strongswan:davici:1.4:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,davici,cpe:2.3:a:strongswan:davici:1.4:*:*:*:*:*:*:*,cpe:2.3:a:strongswan:davici:1.4:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,VERSION_NOT_IN_DICTIONARY,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/davici.control; list=/usr/lib/opkg/info/davici.list; status_version_matches=True
199659,dnsmasq,2.89-42.4,package/network/services/dnsmasq,dnsmasq,It is intended to provide coupled DNS and DHCP service to a LAN.,"libc, libubus20210630",/usr/sbin/dhcpinfo.sh | /usr/lib/dnsmasq/dhcp-script.sh | /etc/dnsmasq.conf | /etc/config/dhcp | /usr/share/dnsmasq/rfc6761.conf | /usr/share/acl.d/dnsmasq_acl.json | /lib/upgrade/keep.d/dnsmasq,dnsmasq,PRODUCT_OR_MAIN_PACKAGE,DIRECT_PRODUCT_CANDIDATE,dnsmasq,2.89,cpe:2.3:a:thekelleys:dnsmasq:2.89:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,dnsmasq,cpe:2.3:a:thekelleys:dnsmasq:2.89:*:*:*:*:*:*:*,cpe:2.3:a:thekelleys:dnsmasq:2.89:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,OFFICIAL_CPE_MAPPED,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/dnsmasq.control; list=/usr/lib/opkg/info/dnsmasq.list; status_version_matches=True
199660,dropbear,2020.81-3,package/network/services/dropbear,dropbear,A small SSH2 server/client designed for small memory environments.,"libc, libubus20210630, libubox20240329, liblog",/usr/bin/dbclient | /usr/bin/dropbearkey | /etc/dropbear/dropbear_ed25519_host_key | /etc/init.d/dropbear | /lib/preinit/99_10_failsafe_dropbear,dropbear,PRODUCT_OR_MAIN_PACKAGE,DIRECT_PRODUCT_CANDIDATE,Dropbear SSH,2020.81,cpe:2.3:a:dropbear_ssh_project:dropbear_ssh:2020.81:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,dropbear,cpe:2.3:a:dropbear_ssh_project:dropbear_ssh:2020.81:*:*:*:*:*:*:*,cpe:2.3:a:dropbear_ssh_project:dropbear_ssh:2020.81:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,OFFICIAL_CPE_MAPPED,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/dropbear.control; list=/usr/lib/opkg/info/dropbear.list; status_version_matches=True
199661,e2fsprogs,1.47.0-2,package/utils/e2fsprogs,e2fsprogs,"This package contains essential ext2 filesystem utilities which consists of
e2fsck, mke2fs and most of the other core ext2 filesystem utilities.","libc, libuuid1, libext2fs2",/usr/sbin/mkfs.ext2 | /usr/sbin/mkfs.ext3 | /usr/lib/libe2p.so.2 | /usr/lib/libe2p.so.2.3,e2fsprogs | libcomerr0 | libext2fs2 | libss2,UTILITY_OR_CLI_PACKAGE,POSSIBLE_PRODUCT_CANDIDATE,e2fsprogs,1.47.0,cpe:2.3:a:e2fsprogs_project:e2fsprogs:1.47.0:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,e2fsprogs,cpe:2.3:a:e2fsprogs_project:e2fsprogs:1.47.0:*:*:*:*:*:*:*,cpe:2.3:a:e2fsprogs_project:e2fsprogs:1.47.0:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,VERSION_NOT_IN_DICTIONARY,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/e2fsprogs.control; list=/usr/lib/opkg/info/e2fsprogs.list; status_version_matches=True
199663,ethtool,5.10-1,package/network/utils/ethtool,ethtool,"ethtool is a small utility for examining and tuning your ethernet-based
network interface",libc,/usr/sbin/ethtool,ethtool,UTILITY_OR_CLI_PACKAGE,POSSIBLE_PRODUCT_CANDIDATE,ethtool,5.10,cpe:2.3:a:kernel:ethtool:5.10:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,ethtool,cpe:2.3:a:kernel:ethtool:5.10:*:*:*:*:*:*:*,cpe:2.3:a:kernel:ethtool:5.10:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,VERSION_NOT_IN_DICTIONARY,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/ethtool.control; list=/usr/lib/opkg/info/ethtool.list; status_version_matches=True
199665,exfat-mkfs,1.1.3-4,package/utils/exfatprogs,exfat-mkfs,Utility for creating an exFAT File System,libc,/usr/sbin/mkfs.exfat,exfat-mkfs,UTILITY_OR_CLI_PACKAGE,POSSIBLE_PRODUCT_CANDIDATE,exfatprogs,1.1.3,cpe:2.3:a:namjaejeon:exfatprogs:1.1.3:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,exfat-mkfs,cpe:2.3:a:namjaejeon:exfatprogs:1.1.3:*:*:*:*:*:*:*,cpe:2.3:a:namjaejeon:exfatprogs:1.1.3:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,OFFICIAL_CPE_MAPPED,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/exfat-mkfs.control; list=/usr/lib/opkg/info/exfat-mkfs.list; status_version_matches=True
199683,ip-full,5.19.0-8,package/network/utils/iproute2,ip-full,Routing control utility (full),"libc, libnl-tiny2023-04-02",/usr/libexec/ip-full,ip-full,UTILITY_OR_CLI_PACKAGE,POSSIBLE_PRODUCT_CANDIDATE,iproute2,5.19.0,cpe:2.3:a:iproute2_project:iproute2:5.19.0:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,ip-full,cpe:2.3:a:iproute2_project:iproute2:5.19.0:*:*:*:*:*:*:*,cpe:2.3:a:iproute2_project:iproute2:5.19.0:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,VERSION_NOT_IN_DICTIONARY,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/ip-full.control; list=/usr/lib/opkg/info/ip-full.list; status_version_matches=True
199684,ip6tables,1.8.7-3,package/network/utils/iptables,ip6tables,IPv6 firewall administration tool,"libc, kmod-ip6tables, iptables",/usr/sbin/ip6tables-save | /usr/sbin/ip6tables,ip6tables | iptables | iptables-mod-conntrack-extra | iptables-mod-ipopt | iptables-mod-ipsec | libip4tc2 | libip6tc2 | libxtables12,UTILITY_OR_CLI_PACKAGE,PARTIAL_OR_SPLIT_COMPONENT,iptables,1.8.7,cpe:2.3:a:netfilter:iptables:1.8.7:*:*:*:*:*:*:*,DUPLICATED_GT_CPE,DUP-04,KEEP_SINGLE_REPRESENTATIVE,iptables,cpe:2.3:a:netfilter:iptables:1.8.7:*:*:*:*:*:*:*,,VERSION_NOT_IN_DICTIONARY,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,REMOVE_DUPLICATED_GT_CPE,DERIVED_SPLIT_PACKAGE_NO_CPE_INHERITANCE,N/A,control=/usr/lib/opkg/info/ip6tables.control; list=/usr/lib/opkg/info/ip6tables.list; status_version_matches=True
