component_id,name,observed_version,original_cpe,firmware_linkage_type,source,source_name,runtime_status,runtime_evidence,runtime_evidence_strength,upstream_product,upstream_vendor,product_identity_status,normalization_status,normalized_product_version,normalization_evidence,cpe_family_status,active_exact_match,deprecated_match,deprecated_resolution_status,deprecated_chain,resolved_active_cpe,active_product_family_match,stable_template_status,configuration_gate_passed,configuration_only_match,configuration_criteria,mapping_path,proposed_gt_cpe,proposed_decision,decision_reason,discrepancy_fields,control_cpe_id,control_cpe_id_vs_gt,review_required,review_stage,review_reason,evidence_summary
199618,api-core,1,cpe:2.3:a:api-core:api-core:1:*:*:*:*:*:*:*,CONTROL_DIRECT,feeds/vuci/api-core,api-core,REVIEW_REQUIRED,"Exact firmware linkage is present, but the fixed local evidence registry does not establish the upstream defining function for this component. Structural package role alone is non-terminal.",MODERATE,,,PARTIAL_OR_SPLIT_COMPONENT,NOT_EVALUATED_RUNTIME_REVIEW,,,NOT_EVALUATED,false,false,,,,false,,false,false,,REVIEW_STOP,,,,N/A,,NO_CONTROL_CPE_ID,true,PRODUCT_RUNTIME,NO_FIXED_OFFICIAL_RUNTIME_ROLE_EVIDENCE,"Exact firmware linkage is present, but the fixed local evidence registry does not establish the upstream defining function for this component. Structural package role alone is non-terminal."
199619,apn_db,7.13.0.2,cpe:2.3:a:apn_db:apn_db:7.13.0.2:*:*:*:*:*:*:*,CONTROL_DIRECT,package/teltonika/apn_db,apn_db,REVIEW_REQUIRED,"Exact firmware linkage is present, but the fixed local evidence registry does not establish the upstream defining function for this component. Structural package role alone is non-terminal.",MODERATE,,,POSSIBLE_PRODUCT,NOT_EVALUATED_RUNTIME_REVIEW,,,NOT_EVALUATED,false,false,,,,false,,false,false,,REVIEW_STOP,,,,N/A,,NO_CONTROL_CPE_ID,true,PRODUCT_RUNTIME,NO_FIXED_OFFICIAL_RUNTIME_ROLE_EVIDENCE,"Exact firmware linkage is present, but the fixed local evidence registry does not establish the upstream defining function for this component. Structural package role alone is non-terminal."
199620,avl,2025-04-29-2,cpe:2.3:a:avl:avl:2025-04-29-2:*:*:*:*:*:*:*,CONTROL_DIRECT,package/teltonika/gps,avl,REVIEW_REQUIRED,"Exact firmware linkage is present, but the fixed local evidence registry does not establish the upstream defining function for this component. Structural package role alone is non-terminal.",MODERATE,,,UNRESOLVED,NOT_EVALUATED_RUNTIME_REVIEW,,,NOT_EVALUATED,false,false,,,,false,,false,false,,REVIEW_STOP,,,,N/A,,NO_CONTROL_CPE_ID,true,PRODUCT_RUNTIME,NO_FIXED_OFFICIAL_RUNTIME_ROLE_EVIDENCE,"Exact firmware linkage is present, but the fixed local evidence registry does not establish the upstream defining function for this component. Structural package role alone is non-terminal."
199621,base-files,2606-r16279-5cc0535800,cpe:2.3:a:base-files:base-files:2606-r16279-5cc0535800:*:*:*:*:*:*:*,CONTROL_DIRECT,package/base-files,base-files,REVIEW_REQUIRED,"Exact firmware linkage is present, but the fixed local evidence registry does not establish the upstream defining function for this component. Structural package role alone is non-terminal.",MODERATE,,,POSSIBLE_PRODUCT,NOT_EVALUATED_RUNTIME_REVIEW,,,NOT_EVALUATED,false,false,,,,false,,false,false,,REVIEW_STOP,,,,N/A,,NO_CONTROL_CPE_ID,true,PRODUCT_RUNTIME,NO_FIXED_OFFICIAL_RUNTIME_ROLE_EVIDENCE,"Exact firmware linkage is present, but the fixed local evidence registry does not establish the upstream defining function for this component. Structural package role alone is non-terminal."
199622,block-mount,2022-05-03-9e11b372-28,cpe:2.3:a:block-mount:block-mount:2022-05-03-9e11b372-28:*:*:*:*:*:*:*,CONTROL_DIRECT,package/system/fstools,block-mount,REVIEW_REQUIRED,"Exact firmware linkage is present, but the fixed local evidence registry does not establish the upstream defining function for this component. Structural package role alone is non-terminal.",MODERATE,,,PARTIAL_OR_SPLIT_COMPONENT,NOT_EVALUATED_RUNTIME_REVIEW,,,NOT_EVALUATED,false,false,,,,false,,false,false,,REVIEW_STOP,,,,N/A,,NO_CONTROL_CPE_ID,true,PRODUCT_RUNTIME,NO_FIXED_OFFICIAL_RUNTIME_ROLE_EVIDENCE,"Exact firmware linkage is present, but the fixed local evidence registry does not establish the upstream defining function for this component. Structural package role alone is non-terminal."
199623,busybox,1.34.1-79.7,cpe:2.3:a:busybox:busybox:1.34.1-79.7:*:*:*:*:*:*:*,CONTROL_DIRECT,package/utils/busybox,busybox,REVIEW_REQUIRED,"Exact firmware linkage is present, but the fixed local evidence registry does not establish the upstream defining function for this component. Structural package role alone is non-terminal.",MODERATE,,,POSSIBLE_PRODUCT,NOT_EVALUATED_RUNTIME_REVIEW,,,NOT_EVALUATED,false,false,,,,false,,false,false,,REVIEW_STOP,,,,N/A,cpe:/a:busybox:busybox,GT_ABSENT,true,PRODUCT_RUNTIME,NO_FIXED_OFFICIAL_RUNTIME_ROLE_EVIDENCE,"Exact firmware linkage is present, but the fixed local evidence registry does not establish the upstream defining function for this component. Structural package role alone is non-terminal."
199624,ca-bundle,20240203-1,cpe:2.3:a:ca-bundle:ca-bundle:20240203-1:*:*:*:*:*:*:*,CONTROL_DIRECT,package/system/ca-certificates,ca-bundle,NON_PRODUCT_RUNTIME,Exact control/list/status payload places the component in the rulebook-explicit accessory class META_OR_HELPER_PACKAGE; representative paths: /etc/cacert.pem | /etc/ssl/certs/ca-certificates.crt,MODERATE,,,POSSIBLE_PRODUCT,NO_PRODUCT_VERSION,,,NOT_EVALUATED,false,false,,,,false,,false,false,,SKIPPED_NON_PRODUCT_RUNTIME,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NON_PRODUCT_RUNTIME,N/A,,NO_CONTROL_CPE_ID,false,,,Exact control/list/status payload places the component in the rulebook-explicit accessory class META_OR_HELPER_PACKAGE; representative paths: /etc/cacert.pem | /etc/ssl/certs/ca-certificates.crt
199625,curl,8.11.0-23.2,cpe:2.3:a:curl:curl:8.11.0-23.2:*:*:*:*:*:*:*,CONTROL_DIRECT,package/network/utils/curl,curl,PRODUCT_RUNTIME,carried forward from PRODUCT_RUNTIME v1; exact SBOM+control+status; Source siblings; UP-CURL-8.11.0; UP-CURL-VERSIONS; UP-OPENWRT-POLICY,STRONG,curl command-line tool,haxx,POSSIBLE_PRODUCT,PACKAGE_RELEASE_REMOVED,8.11.0,"Official curl records release 8.11.0; the dotted 23.2 suffix is retained as packaging metadata only after official release, sibling, and OpenWrt release-semantics evidence align. Evidence: exact SBOM+control+status; Source siblings; UP-CURL-8.11.0; UP-CURL-VERSIONS; UP-OPENWRT-POLICY",UNIQUE_VERIFIED_FAMILY,cpe:2.3:a:haxx:curl:8.11.0:*:*:*:*:*:*:*,false,,,,true,,false,false,,ACTIVE_EXACT,cpe:2.3:a:haxx:curl:8.11.0:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,ACTIVE_EXACT,"[""VENDOR"", ""VERSION""]",cpe:/a:haxx:libcurl,DIFFERENT_PART_VENDOR_PRODUCT,false,,,"Reused fixed CPE family binding and official evidence from representative mapping case CURL-01. | carried forward from PRODUCT_RUNTIME v1; exact SBOM+control+status; Source siblings; UP-CURL-8.11.0; UP-CURL-VERSIONS; UP-OPENWRT-POLICY | Official curl records release 8.11.0; the dotted 23.2 suffix is retained as packaging metadata only after official release, sibling, and OpenWrt release-semantics evidence align. Evidence: exact SBOM+control+status; Source siblings; UP-CURL-8.11.0; UP-CURL-VERSIONS; UP-OPENWRT-POLICY"
199626,data-sender-api-mod-format-custom,1,cpe:2.3:a:data-sender-api-mod-format-custom:data-sender-api-mod-format-custom:1:*:*:*:*:*:*:*,CONTROL_DIRECT,feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api,data-sender-api-mod-format-custom,REVIEW_REQUIRED,"Exact firmware linkage is present, but the fixed local evidence registry does not establish the upstream defining function for this component. Structural package role alone is non-terminal.",MODERATE,,,PARTIAL_OR_SPLIT_COMPONENT,NOT_EVALUATED_RUNTIME_REVIEW,,,NOT_EVALUATED,false,false,,,,false,,false,false,,REVIEW_STOP,,,,N/A,,NO_CONTROL_CPE_ID,true,PRODUCT_RUNTIME,NO_FIXED_OFFICIAL_RUNTIME_ROLE_EVIDENCE,"Exact firmware linkage is present, but the fixed local evidence registry does not establish the upstream defining function for this component. Structural package role alone is non-terminal."
199627,data-sender-api-mod-gsm,1,cpe:2.3:a:data-sender-api-mod-gsm:data-sender-api-mod-gsm:1:*:*:*:*:*:*:*,CONTROL_DIRECT,feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api,data-sender-api-mod-gsm,REVIEW_REQUIRED,"Exact firmware linkage is present, but the fixed local evidence registry does not establish the upstream defining function for this component. Structural package role alone is non-terminal.",MODERATE,,,PARTIAL_OR_SPLIT_COMPONENT,NOT_EVALUATED_RUNTIME_REVIEW,,,NOT_EVALUATED,false,false,,,,false,,false,false,,REVIEW_STOP,,,,N/A,,NO_CONTROL_CPE_ID,true,PRODUCT_RUNTIME,NO_FIXED_OFFICIAL_RUNTIME_ROLE_EVIDENCE,"Exact firmware linkage is present, but the fixed local evidence registry does not establish the upstream defining function for this component. Structural package role alone is non-terminal."
