property_key,semantic_key,component_count,coverage_percent,occurrence_count,distinct_value_count,representative_values,value_pattern,firmware_path_related,analysis_source_binary_path_related,package_source_traceability_use,sdk_makefile_traceability
EMBA:sbom:10:confidence,confidence,1,0.17,1,1,'medium',QUOTED_STRING,False,False,"Detector confidence, not source provenance.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:10:dependency,dependency,83,14.26,83,43,'libubus20210630' | 'liblog' | 'netifd' | 'libuci20130104' | 'libubox20240329',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:11:dependency,dependency,62,10.65,62,33,'libuci-lua' | 'libpthread' | 'openwrt-keyring' | 'ubox' | 'libubus20210630',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:12:dependency,dependency,48,8.25,48,28,'lrexlib' | 'libtlt_uci' | 'usign' | 'libuci20130104' | 'libmdcollect',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:13:dependency,dependency,37,6.36,37,25,'lsqlite3' | 'libubus20210630' | 'libmnfinfo' | 'libmctl' | 'libmnl0',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:14:dependency,dependency,31,5.33,31,18,'lua' | 'libuci20130104' | 'libmosquitto' | 'libnetfilter-conntrack3' | 'libsqlite3-0',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:15:dependency,dependency,25,4.3,25,16,'lua_crypto' | 'zlib' | 'libsqlite3-0' | 'libparam' | 'libubox20240329',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:16:dependency,dependency,19,3.26,19,10,'lua_extra_validators' | 'libtlt-logger' | 'libubus20210630' | 'libtlt_uci' | 'libuci20130104',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:17:dependency,dependency,17,2.92,17,10,'luasec' | 'libubox20240329' | 'libtlt_smtp' | 'libuci20130104' | 'libubus20210630',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:18:dependency,dependency,13,2.23,13,11,'luasocket' | 'libubus20210630' | 'libtlt_uci' | 'libxtables12' | 'libuci20130104',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:19:dependency,dependency,10,1.72,10,9,'luci-lib-ip' | 'libuci20130104' | 'libubox20240329' | 'liburc' | 'libtlt-logger',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:20:dependency,dependency,7,1.2,7,7,'luci-lib-jsonc' | 'libubus20210630' | 'zlib' | 'libtlt_uci' | 'lsqlite3',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:21:dependency,dependency,6,1.03,6,6,'luci-lib-nixio' | 'libuci20130104' | 'libubox20240329' | 'vuci-app-pcom-ui' | 'strongswan-mod-pubkey',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:22:dependency,dependency,4,0.69,4,4,'rpcd' | 'liburc' | 'libubus20210630' | 'strongswan-mod-random',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
