source_package,installed_component_count,installed_packages,source_structure,is_vendor_specific,makefile_path_candidate,makefile_verified,evidence_origin
feeds/luci/libs/luci-lib-ip,1,luci-lib-ip,ONE_SOURCE_ONE_INSTALLED_PACKAGE,False,feeds/luci/libs/luci-lib-ip/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/luci/libs/luci-lib-nixio,1,luci-lib-nixio,ONE_SOURCE_ONE_INSTALLED_PACKAGE,False,feeds/luci/libs/luci-lib-nixio/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/luci/libs/rpcd-mod-rrdns,1,rpcd-mod-rrdns,ONE_SOURCE_ONE_INSTALLED_PACKAGE,False,feeds/luci/libs/rpcd-mod-rrdns/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/packages/lang/lua-lsqlite3,1,lsqlite3,ONE_SOURCE_ONE_INSTALLED_PACKAGE,False,feeds/packages/lang/lua-lsqlite3/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/packages/libs/libcap-ng,1,libcap-ng,ONE_SOURCE_ONE_INSTALLED_PACKAGE,False,feeds/packages/libs/libcap-ng/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/api-core,1,api-core,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/api-core/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/api-core/packages/lrexlib,1,lrexlib,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/api-core/packages/lrexlib/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/api-core/packages/lua_crypto,1,lua_crypto,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/api-core/packages/lua_crypto/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/api-core/packages/lua_extra_validators,1,lua_extra_validators,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/api-core/packages/lua_extra_validators/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-access-control/vuci-app-access-control-api,1,vuci-app-access-control-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-access-control/vuci-app-access-control-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-access-control/vuci-app-access-control-ui,1,vuci-app-access-control-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-access-control/vuci-app-access-control-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-administration/vuci-app-administration-api,1,vuci-app-administration-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-administration/vuci-app-administration-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-administration/vuci-app-administration-ui,1,vuci-app-administration-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-administration/vuci-app-administration-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-auto-reboot/vuci-app-auto-reboot-api,1,vuci-app-auto-reboot-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-auto-reboot/vuci-app-auto-reboot-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-auto-reboot/vuci-app-auto-reboot-ui,1,vuci-app-auto-reboot-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-auto-reboot/vuci-app-auto-reboot-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-backup/vuci-app-backup-api,1,vuci-app-backup-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-backup/vuci-app-backup-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-backup/vuci-app-backup-ui,1,vuci-app-backup-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-backup/vuci-app-backup-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-call-utilities/vuci-app-call-utilities-api,1,vuci-app-call-utilities-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-call-utilities/vuci-app-call-utilities-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-call-utilities/vuci-app-call-utilities-ui,1,vuci-app-call-utilities-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-call-utilities/vuci-app-call-utilities-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-certificates/vuci-app-certificates-api,1,vuci-app-certificates-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-certificates/vuci-app-certificates-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-certificates/vuci-app-certificates-ui,1,vuci-app-certificates-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-certificates/vuci-app-certificates-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-channel-analysis/vuci-app-channel-analysis-api,1,vuci-app-channel-analysis-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-channel-analysis/vuci-app-channel-analysis-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-channel-analysis/vuci-app-channel-analysis-ui,1,vuci-app-channel-analysis-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-channel-analysis/vuci-app-channel-analysis-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
