case_id,component_id,source,package,version,description,installed_payload_summary,representative_paths,sibling_packages,existing_package_role,upstream_product,official_upstream_evidence,runtime_role,product_runtime_status,decision_reason,evidence_strength,exact_evidence_basis
"OPENSSL-01","199886","package/libs/openssl","libopenssl-conf","3.0.14-3","Installs the OpenSSL configuration file.","Two configuration files and an init helper; no OpenSSL executable or shared runtime library.","/etc/config/openssl | /etc/ssl/openssl.cnf | /etc/init.d/openssl","libopenssl-conf | libopenssl-legacy | libopenssl3 | openssl-util","META_OR_HELPER_PACKAGE","OpenSSL","UP-OPENSSL-SSL; UP-OPENSSL-CRYPTO; UP-OPENSSL-CLI","configuration/helper package","NON_PRODUCT_RUNTIME","Exact ownership is configuration/init only; it does not contain libssl, libcrypto, or the openssl executable.","STRONG","control+list+status; version and architecture match"
"OPENSSL-02","199887","package/libs/openssl","libopenssl-legacy","3.0.14-3","Supplies OpenSSL algorithms classified as legacy.","A dynamically loadable legacy provider and its configuration fragment.","/usr/lib/ossl-modules/legacy.so | /etc/ssl/modules.cnf.d/legacy.cnf","libopenssl-conf | libopenssl-legacy | libopenssl3 | openssl-util","PLUGIN_OR_MODULE","OpenSSL","UP-OPENSSL-LEGACY; UP-OPENSSL-CRYPTO","legacy provider extension","NON_PRODUCT_RUNTIME","Official and exact evidence identify a loadable provider for legacy algorithms rather than the principal OpenSSL libraries or CLI.","STRONG","control+list+status; version and architecture match"
"OPENSSL-03","199888","package/libs/openssl","libopenssl3","3.0.14-3","Contains the OpenSSL shared libraries needed by other programs.","The exact package owns both principal OpenSSL 3 shared libraries.","/usr/lib/libssl.so.3 | /usr/lib/libcrypto.so.3","libopenssl-conf | libopenssl-legacy | libopenssl3 | openssl-util","LIBRARY_PACKAGE","OpenSSL","UP-OPENSSL-SSL; UP-OPENSSL-CRYPTO","core SSL/TLS and cryptographic runtime libraries","PRODUCT_RUNTIME","Official manuals define ssl and crypto as OpenSSL runtime libraries, and the exact payload owns both corresponding shared objects.","STRONG","control+list+status; version and architecture match"
"OPENSSL-04","199958","package/libs/openssl","openssl-util","3.0.14-3","Contains the OpenSSL command-line utility.","The exact package owns the canonical openssl executable.","/usr/bin/openssl","libopenssl-conf | libopenssl-legacy | libopenssl3 | openssl-util","UTILITY_OR_CLI_PACKAGE","OpenSSL","UP-OPENSSL-CLI","canonical functional command-line program","PRODUCT_RUNTIME","The official manual defines openssl as the toolkit command-line program and the exact payload owns that executable.","STRONG","control+list+status; version and architecture match"
"CURL-01","199625","package/network/utils/curl","curl","8.11.0-23.2","Client-side URL transfer utility.","The exact package owns the curl executable.","/usr/bin/curl","curl | libcurl4","UTILITY_OR_CLI_PACKAGE","curl command-line tool","UP-CURL-DOCS; UP-CURL-CLI","canonical URL-transfer command","PRODUCT_RUNTIME","The command itself performs the upstream product defining URL-transfer operation.","STRONG","control+list+status; version and architecture match"
"CURL-02","199854","package/network/utils/curl","libcurl4","8.11.0-23.2","Client-side URL transfer library.","The exact package owns the libcurl ABI 4 shared library and soname.","/usr/lib/libcurl.so.4 | /usr/lib/libcurl.so.4.8.0","curl | libcurl4","LIBRARY_PACKAGE","libcurl","UP-CURL-DOCS; UP-LIBCURL","principal URL-transfer runtime library/API","PRODUCT_RUNTIME","Official curl documentation treats libcurl as the transfer library/API, while exact ownership confirms its shared runtime.","STRONG","control+list+status; version and architecture match"
"IPTABLES-01","199684","package/network/utils/iptables","ip6tables","1.8.7-3","IPv6 firewall administration tool.","Owns the IPv6 rule administration, save, and restore commands.","/usr/sbin/ip6tables | /usr/sbin/ip6tables-save | /usr/sbin/ip6tables-restore","ip6tables | iptables | iptables-mod-conntrack-extra | iptables-mod-ipopt | iptables-mod-ipsec | libip4tc2 | libip6tc2 | libxtables12","UTILITY_OR_CLI_PACKAGE","iptables/ip6tables","UP-IPTABLES","canonical IPv6 firewall administration commands","PRODUCT_RUNTIME","The official project explicitly includes ip6tables as the IPv6 packet-filter configuration program and exact payload contains its commands.","STRONG","control+list+status; version and architecture match"
"IPTABLES-02","199690","package/network/utils/iptables","iptables","1.8.7-3","IP firewall administration tool.","Owns the canonical IPv4 rule administration, save, restore, and multi-call commands.","/usr/sbin/iptables | /usr/sbin/iptables-save | /usr/sbin/iptables-restore | /usr/sbin/xtables-legacy-multi","ip6tables | iptables | iptables-mod-conntrack-extra | iptables-mod-ipopt | iptables-mod-ipsec | libip4tc2 | libip6tc2 | libxtables12","UTILITY_OR_CLI_PACKAGE","iptables","UP-IPTABLES","canonical firewall administration commands","PRODUCT_RUNTIME","The official project defines iptables as the userspace command-line program for configuring packet-filter rules and the exact package owns it.","STRONG","control+list+status; version and architecture match"
"IPTABLES-03","199687","package/network/utils/iptables","iptables-mod-conntrack-extra","1.8.7-3","Extra iptables extensions for connection tracking.","Empty package list; control metadata and dependencies describe additional matches and a target.","(empty .list)","ip6tables | iptables | iptables-mod-conntrack-extra | iptables-mod-ipopt | iptables-mod-ipsec | libip4tc2 | libip6tc2 | libxtables12","PLUGIN_OR_MODULE","iptables","UP-IPTABLES; UP-IPTABLES-EXT","connection-tracking extension package","NON_PRODUCT_RUNTIME","Description, dependencies, and sibling structure identify additional extensions; no canonical executable/runtime payload is owned.","MODERATE","control+status with empty .list; version and architecture match"
"IPTABLES-04","199688","package/network/utils/iptables","iptables-mod-ipopt","1.8.7-3","iptables extensions for matching or changing IP packet options.","Empty package list; control metadata and dependencies describe optional matches and targets.","(empty .list)","ip6tables | iptables | iptables-mod-conntrack-extra | iptables-mod-ipopt | iptables-mod-ipsec | libip4tc2 | libip6tc2 | libxtables12","PLUGIN_OR_MODULE","iptables","UP-IPTABLES; UP-IPTABLES-EXT","packet-option extension package","NON_PRODUCT_RUNTIME","Exact metadata identifies extensions to the canonical command, not the command implementation itself.","MODERATE","control+status with empty .list; version and architecture match"
