cpe_id,global_package_count,global_source_count,source,source_package_count,cpe_id_package_count_within_source,cpe_id_coverage_percent_within_source,packages,propagation_status,source_cpe_id_consistency
cpe:/a:libcap-ng_project:libcap-ng,1,1,feeds/packages/libs/libcap-ng,1,1,100.0,libcap-ng,SINGLE_PACKAGE_ONLY,ALL_PACKAGES_SAME_CPE_ID
cpe:/a:c-ares:c-ares,1,1,package/libs/c-ares,1,1,100.0,libcares,SINGLE_PACKAGE_ONLY,ALL_PACKAGES_SAME_CPE_ID
cpe:/a:strongswan:davici,1,1,package/libs/davici,1,1,100.0,davici,SINGLE_PACKAGE_ONLY,ALL_PACKAGES_SAME_CPE_ID
cpe:/a:libcap_project:libcap,2,1,package/libs/libcap,2,2,100.0,libcap | libcap-bin,PROPAGATED_TO_MULTIPLE_PACKAGES,ALL_PACKAGES_SAME_CPE_ID
cpe:/a:json-c_project:json-c,1,1,package/libs/libjson-c,1,1,100.0,libjson-c5,SINGLE_PACKAGE_ONLY,ALL_PACKAGES_SAME_CPE_ID
cpe:/a:netfilter:libmnl,1,1,package/libs/libmnl,1,1,100.0,libmnl0,SINGLE_PACKAGE_ONLY,ALL_PACKAGES_SAME_CPE_ID
cpe:/a:libmodbus:libmodbus,1,1,package/libs/libmodbus,1,1,100.0,libmodbus,SINGLE_PACKAGE_ONLY,ALL_PACKAGES_SAME_CPE_ID
cpe:/a:netfilter:libnetfilter_conntrack,1,1,package/libs/libnetfilter-conntrack,1,1,100.0,libnetfilter-conntrack3,SINGLE_PACKAGE_ONLY,ALL_PACKAGES_SAME_CPE_ID
cpe:/a:netfilter:libnfnetlink,1,1,package/libs/libnfnetlink,1,1,100.0,libnfnetlink0,SINGLE_PACKAGE_ONLY,ALL_PACKAGES_SAME_CPE_ID
cpe:/a:netfilter:libnftnl,1,1,package/libs/libnftnl,1,1,100.0,libnftnl11,SINGLE_PACKAGE_ONLY,ALL_PACKAGES_SAME_CPE_ID
cpe:/a:libnl_project:libnl,2,1,package/libs/libnl,2,2,100.0,libnl-core200 | libnl-genl200,PROPAGATED_TO_MULTIPLE_PACKAGES,ALL_PACKAGES_SAME_CPE_ID
cpe:/a:tcpdump:libpcap,1,1,package/libs/libpcap,1,1,100.0,libpcap1,SINGLE_PACKAGE_ONLY,ALL_PACKAGES_SAME_CPE_ID
cpe:/a:libusb:libusb,1,1,package/libs/libusb,1,1,100.0,libusb-1.0-0,SINGLE_PACKAGE_ONLY,ALL_PACKAGES_SAME_CPE_ID
cpe:/a:oberhumer:lzo,1,1,package/libs/lzo,1,1,100.0,liblzo2,SINGLE_PACKAGE_ONLY,ALL_PACKAGES_SAME_CPE_ID
cpe:/a:nghttp2:nghttp2,1,1,package/libs/nghttp2,1,1,100.0,libnghttp2-14,SINGLE_PACKAGE_ONLY,ALL_PACKAGES_SAME_CPE_ID
