source,package_count,packages,single_or_multi,source_name_values,version_values,cpe_id_values,cpe_id_package_count,cpe_id_consistency,product_candidate_count,direct_product_candidate_count,possible_product_candidate_count,partial_component_count,non_product_count,ambiguous_count,unresolved_count,role_distribution,main_package_candidate,has_main_product_like_package,has_library_split,has_utility_split,has_plugin_module_split,has_kernel_package,is_vendor_specific,source_structure_summary
feeds/luci/libs/luci-lib-ip,1,luci-lib-ip,SINGLE_PACKAGE_SOURCE,luci-lib-ip,git-20.250.76529-62505bd,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""PLUGIN_OR_MODULE"": 1}",,False,False,False,True,False,False,single installed package; plugin/module=1
feeds/luci/libs/luci-lib-nixio,1,luci-lib-nixio,SINGLE_PACKAGE_SOURCE,luci-lib-nixio,git-20.234.06894-c4a4e43,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""PLUGIN_OR_MODULE"": 1}",,False,False,False,True,False,False,single installed package; plugin/module=1
feeds/luci/libs/rpcd-mod-rrdns,1,rpcd-mod-rrdns,SINGLE_PACKAGE_SOURCE,rpcd-mod-rrdns,20170710,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""PLUGIN_OR_MODULE"": 1}",,False,False,False,True,False,False,single installed package; plugin/module=1
feeds/packages/lang/lua-lsqlite3,1,lsqlite3,SINGLE_PACKAGE_SOURCE,lsqlite3,0.9.5-1,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""PLUGIN_OR_MODULE"": 1}",,False,False,False,True,False,False,single installed package; plugin/module=1
feeds/packages/libs/libcap-ng,1,libcap-ng,SINGLE_PACKAGE_SOURCE,libcap-ng,0.8.1-1,cpe:/a:libcap-ng_project:libcap-ng,1,ALL_PACKAGES_SAME_CPE_ID,0,0,0,0,0,1,0,"{""LIBRARY_PACKAGE"": 1}",,False,True,False,False,False,False,single installed package; library=1
feeds/vuci/api-core,1,api-core,SINGLE_PACKAGE_SOURCE,api-core,1,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""PLUGIN_OR_MODULE"": 1}",,False,False,False,True,False,True,single installed package; plugin/module=1
feeds/vuci/api-core/packages/lrexlib,1,lrexlib,SINGLE_PACKAGE_SOURCE,lrexlib,2021-12-28,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""PLUGIN_OR_MODULE"": 1}",,False,False,False,True,False,True,single installed package; plugin/module=1
feeds/vuci/api-core/packages/lua_crypto,1,lua_crypto,SINGLE_PACKAGE_SOURCE,lua_crypto,1.0-1,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""PLUGIN_OR_MODULE"": 1}",,False,False,False,True,False,True,single installed package; plugin/module=1
feeds/vuci/api-core/packages/lua_extra_validators,1,lua_extra_validators,SINGLE_PACKAGE_SOURCE,lua_extra_validators,2021-12-28,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""PLUGIN_OR_MODULE"": 1}",,False,False,False,True,False,True,single installed package; plugin/module=1
feeds/vuci/applications/vuci-app-access-control/vuci-app-access-control-api,1,vuci-app-access-control-api,SINGLE_PACKAGE_SOURCE,vuci-app-access-control-api,1,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""PLUGIN_OR_MODULE"": 1}",,False,False,False,True,False,True,single installed package; plugin/module=1
feeds/vuci/applications/vuci-app-access-control/vuci-app-access-control-ui,1,vuci-app-access-control-ui,SINGLE_PACKAGE_SOURCE,vuci-app-access-control-ui,2025-07-02-0eab43c-1,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""PLUGIN_OR_MODULE"": 1}",,False,False,False,True,False,True,single installed package; plugin/module=1
