case_id,case_group,component_id,component_package,source,source_name,source_date_epoch,product_runtime_status,runtime_status_origin,normalization_applicability,observed_sbom_version,observed_firmware_version,sibling_versions,upstream_product,official_upstream_version,normalization_status,normalized_product_version,preserved_version_candidate,package_release_removed,normalization_reason,evidence,evidence_strength
"OPENSSL-01","release_runtime","199888","libopenssl3","package/libs/openssl","libopenssl","1746615275","PRODUCT_RUNTIME","carried forward from PRODUCT_RUNTIME v1","ACTIVE","3.0.14-3","3.0.14-3","3.0.14-3 across 4 Source siblings","OpenSSL","3.0.14","PACKAGE_RELEASE_REMOVED","3.0.14","3.0.14","true","Official OpenSSL notes identify 3.0.14; exact Source siblings share 3.0.14-3; OpenWrt policy identifies the remaining suffix as package release.","exact SBOM+control+status; Source siblings; UP-OPENSSL-3.0.14; UP-OPENWRT-POLICY","STRONG"
"OPENSSL-02","release_runtime","199958","openssl-util","package/libs/openssl","openssl-util","1746615275","PRODUCT_RUNTIME","carried forward from PRODUCT_RUNTIME v1","ACTIVE","3.0.14-3","3.0.14-3","3.0.14-3 across 4 Source siblings","OpenSSL","3.0.14","PACKAGE_RELEASE_REMOVED","3.0.14","3.0.14","true","The exact CLI and core libraries share one Source version; official release evidence proves 3.0.14 and package policy proves the -3 packaging layer.","exact SBOM+control+status; Source siblings; UP-OPENSSL-3.0.14; UP-OPENWRT-POLICY","STRONG"
"CURL-01","release_runtime","199625","curl","package/network/utils/curl","curl","1734506900","PRODUCT_RUNTIME","carried forward from PRODUCT_RUNTIME v1","ACTIVE","8.11.0-23.2","8.11.0-23.2","8.11.0-23.2 across 2 Source siblings","curl command-line tool","8.11.0","PACKAGE_RELEASE_REMOVED","8.11.0","8.11.0","true","Official curl records release 8.11.0; the dotted 23.2 suffix is retained as packaging metadata only after official release, sibling, and OpenWrt release-semantics evidence align.","exact SBOM+control+status; Source siblings; UP-CURL-8.11.0; UP-CURL-VERSIONS; UP-OPENWRT-POLICY","STRONG"
"CURL-02","release_runtime","199854","libcurl4","package/network/utils/curl","libcurl","1734506900","PRODUCT_RUNTIME","carried forward from PRODUCT_RUNTIME v1","ACTIVE","8.11.0-23.2","8.11.0-23.2","8.11.0-23.2 across 2 Source siblings","libcurl","8.11.0","PACKAGE_RELEASE_REMOVED","8.11.0","8.11.0","true","Official curl history says curl and libcurl are released in sync, so libcurl independently receives 8.11.0 without merging its identity with the CLI.","exact SBOM+control+status; Source siblings; UP-CURL-8.11.0; UP-CURL-VERSIONS; UP-OPENWRT-POLICY","STRONG"
"IPTABLES-01","release_runtime","199690","iptables","package/network/utils/iptables","iptables","1739942591","PRODUCT_RUNTIME","carried forward from PRODUCT_RUNTIME v1","ACTIVE","1.8.7-3","1.8.7-3","1.8.7-3 across 8 Source siblings","iptables","1.8.7","PACKAGE_RELEASE_REMOVED","1.8.7","1.8.7","true","The official netfilter archive lists 1.8.7; exact siblings share 1.8.7-3 and OpenWrt policy distinguishes the -3 package revision.","exact SBOM+control+status; Source siblings; UP-IPTABLES-1.8.7; UP-OPENWRT-POLICY","STRONG"
"IPTABLES-02","release_runtime","199684","ip6tables","package/network/utils/iptables","ip6tables","1739942591","PRODUCT_RUNTIME","carried forward from PRODUCT_RUNTIME v1","ACTIVE","1.8.7-3","1.8.7-3","1.8.7-3 across 8 Source siblings","iptables/ip6tables","1.8.7","PACKAGE_RELEASE_REMOVED","1.8.7","1.8.7","true","ip6tables is released from the same official iptables project/version; the shared Source does not replace its independent runtime identity decision.","exact SBOM+control+status; Source siblings; UP-IPTABLES-1.8.7; UP-OPENWRT-POLICY","STRONG"
"STRONGSWAN-01","release_runtime","200023","strongswan","package/network/services/strongswan","strongswan","1738578907","PRODUCT_RUNTIME","carried forward from PRODUCT_RUNTIME v1","ACTIVE","5.9.14-24","5.9.14-24","5.9.14-24 across 28 Source siblings","strongSwan","5.9.14","PACKAGE_RELEASE_REMOVED","5.9.14","5.9.14","true","Official strongSwan announcement identifies 5.9.14; exact Source consistency and OpenWrt package-release semantics establish -24 as packaging revision.","exact SBOM+control+status; Source siblings; UP-STRONGSWAN-5.9.14; UP-OPENWRT-POLICY","STRONG"
"STRONGSWAN-02","release_runtime","199996","strongswan-charon","package/network/services/strongswan","strongswan-charon","1738578907","PRODUCT_RUNTIME","carried forward from PRODUCT_RUNTIME v1","ACTIVE","5.9.14-24","5.9.14-24","5.9.14-24 across 28 Source siblings","strongSwan charon runtime","5.9.14","PACKAGE_RELEASE_REMOVED","5.9.14","5.9.14","true","charon is part of the same strongSwan release and independently classified runtime; only the proven package release is removed.","exact SBOM+control+status; Source siblings; UP-STRONGSWAN-5.9.14; UP-OPENWRT-POLICY","STRONG"
"E2FSPROGS-01","release_runtime","199661","e2fsprogs","package/utils/e2fsprogs","e2fsprogs","1718859639","PRODUCT_RUNTIME","carried forward from PRODUCT_RUNTIME v1","ACTIVE","1.47.0-2","1.47.0-2","1.47.0-2 across 4 Source siblings","e2fsprogs","1.47.0","PACKAGE_RELEASE_REMOVED","1.47.0","1.47.0","true","Official e2fsprogs release notes identify 1.47.0; exact Source siblings and package policy establish -2 as package release.","exact SBOM+control+status; Source siblings; UP-E2FSPROGS-1.47.0; UP-OPENWRT-POLICY","STRONG"
"LINUX-01","release_runtime","200193","linux_kernel","NON_OPKG_DIRECT_ARTIFACT","linux_kernel","","PRODUCT_RUNTIME","carried forward from PRODUCT_RUNTIME v1","ACTIVE","5.15.176","5.15.176 (BINARY_DIRECT)","not applicable","Linux kernel","5.15.176","EXACT_PRODUCT_VERSION","5.15.176","5.15.176","false","The directly traced kernel artifact already equals the official kernel.org release; no package or kmod suffix is involved.","direct SBOM binary traceability; UP-LINUX-5.15.176","STRONG"
"DATEGIT-01","date_git_snapshot","199949","netifd","package/network/config/netifd","netifd","1742798236","PRODUCT_RUNTIME","limited application of PRODUCT_RUNTIME v1","ACTIVE","2024-01-04-c18cc79d-16","2024-01-04-c18cc79d-16","single-package Source","OpenWrt netifd","2024-01-04-c18cc79d","DATE_OR_GIT_VERSION","2024-01-04-c18cc79d","2024-01-04-c18cc79d","true","Official OpenWrt policy defines date+commit as source version and the final revision as package release; the official archive confirms the snapshot prefix.","exact SBOM+control+status; /sbin/netifd payload; UP-NETIFD; UP-NETIFD-PACKAGE; UP-OPENWRT-POLICY","STRONG"
"DATEGIT-02","date_git_snapshot","199974","procd","package/system/procd","procd","1736945270","PRODUCT_RUNTIME","limited application of PRODUCT_RUNTIME v1","ACTIVE","2021-02-23-37eed131-21","2021-02-23-37eed131-21","2021-02-23-37eed131-21 across 2 Source siblings","OpenWrt procd","2021-02-23-37eed131","DATE_OR_GIT_VERSION","2021-02-23-37eed131","2021-02-23-37eed131","true","Exact daemon ownership and official repository identity align with OpenWrt date/hash policy; exact package-specific Makefile is unavailable, so strength remains moderate.","exact SBOM+control+status; /sbin/procd payload; Source siblings; UP-PROCD; UP-OPENWRT-POLICY","MODERATE"
