firmware_vendor,firmware_product,firmware_version,sbom_document_id,ground_truth_id,component_id,component_name,component_version,original_cpe,ground_truth_cpe,validation_result,cpe_present,actual_product,verified_software_version,version_verification_method,product_boundary,representative_status
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2530,198810,acksys-cloned,1.0.1-1,cpe:2.3:a:acksys-cloned:acksys-cloned:1.0.1-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,WaveOS cloning daemon,1.0.1-1,NOT_REQUIRED_OR_BASE_ARTIFACT,WAVEOS_INTERNAL_COMPONENT,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2531,198811,acksys-discover,1.4.0-1,cpe:2.3:a:acksys-discover:acksys-discover:1.4.0-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,WaveOS Discover agent,1.4.0-1,NOT_REQUIRED_OR_BASE_ARTIFACT,WAVEOS_INTERNAL_COMPONENT,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2532,198812,acksys-event-handler,1.9.0-1,cpe:2.3:a:acksys-event-handler:acksys-event-handler:1.9.0-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,WaveOS event handling subsystem,1.9.0-1,NOT_REQUIRED_OR_BASE_ARTIFACT,WAVEOS_INTERNAL_COMPONENT,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2533,198813,acksys-fft-eval,1.0-1,cpe:2.3:a:acksys-fft-eval:acksys-fft-eval:1.0-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,acksys-fft-eval,1.0,NOT_REQUIRED_OR_BASE_ARTIFACT,CLI_OR_UTILITY_SPLIT,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2534,198814,acksys-filter,1.0.0-1,cpe:2.3:a:acksys-filter:acksys-filter:1.0.0-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,acksys-filter,1.0.0,NOT_REQUIRED_OR_BASE_ARTIFACT,HELPER_OR_CONFIG,198814
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2535,198815,acksys-gnss-ubus,1.1,cpe:2.3:a:acksys-gnss-ubus:acksys-gnss-ubus:1.1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,WaveOS GNSS ubus adapter,1.1,NOT_REQUIRED_OR_BASE_ARTIFACT,WAVEOS_INTERNAL_COMPONENT,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2536,198816,acksys-iperf,1.22-1,cpe:2.3:a:acksys-iperf:acksys-iperf:1.22-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,acksys-iperf,1.22,NOT_REQUIRED_OR_BASE_ARTIFACT,CLI_OR_UTILITY_SPLIT,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2537,198817,acksys-iwleeprom,1.1.0-1,cpe:2.3:a:acksys-iwleeprom:acksys-iwleeprom:1.1.0-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,acksys-iwleeprom,1.1.0,NOT_REQUIRED_OR_BASE_ARTIFACT,CLI_OR_UTILITY_SPLIT,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2538,198818,acksys-lsof,1.0.1-1,cpe:2.3:a:acksys-lsof:acksys-lsof:1.0.1-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,acksys-lsof,1.0.1,NOT_REQUIRED_OR_BASE_ARTIFACT,PLUGIN_OR_MODULE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2539,198819,acksys-md5sum,1.0.1-1,cpe:2.3:a:acksys-md5sum:acksys-md5sum:1.0.1-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,acksys-md5sum,1.0.1,NOT_REQUIRED_OR_BASE_ARTIFACT,PLUGIN_OR_MODULE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2540,198820,acksys-memtool,1.0.1-1,cpe:2.3:a:acksys-memtool:acksys-memtool:1.0.1-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,acksys-memtool,1.0.1,NOT_REQUIRED_OR_BASE_ARTIFACT,CLI_OR_UTILITY_SPLIT,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2541,198821,acksys-mib,1.13.0-1,cpe:2.3:a:acksys-mib:acksys-mib:1.13.0-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,acksys-mib,1.13.0,NOT_REQUIRED_OR_BASE_ARTIFACT,PLUGIN_OR_MODULE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2542,198822,acksys-mstp,r61-1,cpe:2.3:a:acksys-mstp:acksys-mstp:r61-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,mstpd,0.03-BUILD,NOT_REQUIRED_OR_BASE_ARTIFACT,UPSTREAM_PRODUCT_WRAPPER,REPRESENTATIVE
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2543,198823,acksys-qos-queues,1.0.0-1,cpe:2.3:a:acksys-qos-queues:acksys-qos-queues:1.0.0-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,acksys-qos-queues,1.0.0,NOT_REQUIRED_OR_BASE_ARTIFACT,HELPER_OR_CONFIG,198823
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2544,198824,acksys-qos,1.0.0-1,cpe:2.3:a:acksys-qos:acksys-qos:1.0.0-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,acksys-qos,1.0.0,NOT_REQUIRED_OR_BASE_ARTIFACT,HELPER_OR_CONFIG,198824
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2545,198825,acksys-rftest,1.0.0-1,cpe:2.3:a:acksys-rftest:acksys-rftest:1.0.0-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,acksys-rftest,1.0.0,NOT_REQUIRED_OR_BASE_ARTIFACT,CLI_OR_UTILITY_SPLIT,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2546,198826,acksys-rogueap-detector,0.0.1-1,cpe:2.3:a:acksys-rogueap-detector:acksys-rogueap-detector:0.0.1-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,RogueAP Detector,2.0,NOT_REQUIRED_OR_BASE_ARTIFACT,UPSTREAM_PRODUCT_WRAPPER,REPRESENTATIVE
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2547,198827,acksys-srcc2,2.0.0-1,cpe:2.3:a:acksys-srcc2:acksys-srcc2:2.0.0-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,WaveOS SRCC v2 service,2.0.0-1,NOT_REQUIRED_OR_BASE_ARTIFACT,WAVEOS_INTERNAL_COMPONENT,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2548,198828,acksys-srcc,1.0.0-1,cpe:2.3:a:acksys-srcc:acksys-srcc:1.0.0-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,WaveOS SRCC legacy service,1.0.0-1,NOT_REQUIRED_OR_BASE_ARTIFACT,WAVEOS_INTERNAL_COMPONENT,DERIVED_OR_SUBCOMPONENT
