ground_truth_id,component_id,field_code,field_taxonomy_id
826,199623,VERSION,6
828,199625,VENDOR,1
828,199625,VERSION,6
856,199653,VENDOR,1
856,199653,VERSION,6
862,199659,VENDOR,1
862,199659,VERSION,6
863,199660,VENDOR,1
863,199660,PRODUCT,2
863,199660,VERSION,6
864,199661,VENDOR,1
864,199661,VERSION,6
866,199663,VENDOR,1
866,199663,VERSION,6
868,199665,VENDOR,1
868,199665,PRODUCT,2
868,199665,VERSION,6
886,199683,VENDOR,1
886,199683,PRODUCT,2
886,199683,VERSION,6
889,199686,VENDOR,1
889,199686,VERSION,6
893,199690,VENDOR,1
893,199690,VERSION,6
894,199691,VENDOR,1
894,199691,PRODUCT,2
894,199691,VERSION,6
1048,199845,VENDOR,1
1048,199845,PRODUCT,2
1048,199845,VERSION,6
1050,199847,VENDOR,1
1050,199847,VERSION,6
1051,199848,VENDOR,1
1051,199848,VERSION,6
1052,199849,VENDOR,1
1052,199849,PRODUCT,2
1052,199849,VERSION,6
1057,199854,VENDOR,1
1057,199854,PRODUCT,2
1057,199854,VERSION,6
1069,199866,VENDOR,1
1069,199866,PRODUCT,2
1069,199866,VERSION,6
1074,199871,VENDOR,1
1074,199871,PRODUCT,2
1074,199871,VERSION,6
1078,199875,VENDOR,1
1078,199875,PRODUCT,2
1078,199875,VERSION,6
1079,199876,VERSION,6
1080,199877,VENDOR,1
1080,199877,PRODUCT,2
1080,199877,VERSION,6
1081,199878,VENDOR,1
1081,199878,PRODUCT,2
1081,199878,VERSION,6
1083,199880,VENDOR,1
1083,199880,PRODUCT,2
1083,199880,VERSION,6
1084,199881,VENDOR,1
1084,199881,PRODUCT,2
1084,199881,VERSION,6
1085,199882,VENDOR,1
1085,199882,PRODUCT,2
1085,199882,VERSION,6
1086,199883,VENDOR,1
1086,199883,PRODUCT,2
1086,199883,VERSION,6
1091,199888,VENDOR,1
1091,199888,PRODUCT,2
1091,199888,VERSION,6
1093,199890,VENDOR,1
1093,199890,PRODUCT,2
1093,199890,VERSION,6
1094,199891,VENDOR,1
1094,199891,PRODUCT,2
1094,199891,VERSION,6
1116,199913,VENDOR,1
1116,199913,PRODUCT,2
1116,199913,VERSION,6
1116,199913,UPDATE,7
1123,199920,VERSION,6
1136,199933,VENDOR,1
1136,199933,PRODUCT,2
1136,199933,VERSION,6
1159,199956,VERSION,6
1162,199959,VENDOR,1
1162,199959,PRODUCT,2
1162,199959,VERSION,6
1162,199959,SW_EDITION,10
1194,199991,VENDOR,1
1194,199991,VERSION,6
1226,200023,VERSION,6
1395,200192,VERSION,6
1402,200199,UPDATE,7
1406,199174,VENDOR,1
1406,199174,PRODUCT,2
1406,199174,VERSION,6
1406,199174,UPDATE,7
1410,199178,VERSION,6
1418,199186,VENDOR,1
1418,199186,VERSION,6
1423,199191,VENDOR,1
1423,199191,PRODUCT,2
1423,199191,VERSION,6
1424,199192,VENDOR,1
1424,199192,PRODUCT,2
1424,199192,VERSION,6
1425,199193,VENDOR,1
1425,199193,VERSION,6
1445,199213,VENDOR,1
1445,199213,PRODUCT,2
1445,199213,VERSION,6
1460,199228,VENDOR,1
1460,199228,PRODUCT,2
1460,199228,VERSION,6
1467,199235,VENDOR,1
1467,199235,VERSION,6
1468,199236,VENDOR,1
1468,199236,VERSION,6
1593,199361,VENDOR,1
1593,199361,PRODUCT,2
1593,199361,VERSION,6
1594,199362,VENDOR,1
1594,199362,PRODUCT,2
1594,199362,VERSION,6
1597,199365,VENDOR,1
1597,199365,VERSION,6
1622,199390,VENDOR,1
1622,199390,PRODUCT,2
1622,199390,VERSION,6
1624,199392,VENDOR,1
1624,199392,PRODUCT,2
1624,199392,VERSION,6
1654,199422,VERSION,6
1715,199483,VENDOR,1
1715,199483,VERSION,6
1715,199483,UPDATE,7
1719,199487,VENDOR,1
1719,199487,PRODUCT,2
1719,199487,VERSION,6
1730,199498,VENDOR,1
1730,199498,PRODUCT,2
1730,199498,VERSION,6
1731,199499,VENDOR,1
1731,199499,PRODUCT,2
1731,199499,VERSION,6
1731,199499,SW_EDITION,10
1738,199506,VENDOR,1
1738,199506,PRODUCT,2
1738,199506,VERSION,6
1740,199508,VERSION,6
1742,199510,VENDOR,1
1742,199510,VERSION,6
1753,199521,VERSION,6
1762,199530,VENDOR,1
1808,199576,VERSION,6
1809,199577,VERSION,6
1812,199580,VENDOR,1
1812,199580,PRODUCT,2
1812,199580,VERSION,6
1841,199609,VERSION,6
1843,199611,VENDOR,1
1843,199611,VERSION,6
1843,199611,UPDATE,7
1848,199616,VENDOR,1
1872,176267,VERSION,6
1879,176274,VENDOR,1
1879,176274,VERSION,6
1906,176301,VENDOR,1
1906,176301,VERSION,6
1909,176304,VENDOR,1
1909,176304,VERSION,6
1910,176305,VENDOR,1
1910,176305,PRODUCT,2
1910,176305,VERSION,6
1912,176307,VENDOR,1
1912,176307,VERSION,6
1915,176310,VENDOR,1
1915,176310,VERSION,6
1917,176312,VENDOR,1
1917,176312,PRODUCT,2
1917,176312,VERSION,6
1936,176331,VENDOR,1
1936,176331,PRODUCT,2
1936,176331,VERSION,6
1940,176335,VENDOR,1
1940,176335,VERSION,6
1944,176339,VENDOR,1
1944,176339,VERSION,6
1945,176340,VENDOR,1
1945,176340,PRODUCT,2
1945,176340,VERSION,6
2112,176507,VENDOR,1
2112,176507,PRODUCT,2
2112,176507,VERSION,6
2114,176509,VENDOR,1
2114,176509,VERSION,6
2115,176510,VENDOR,1
2115,176510,PRODUCT,2
2115,176510,VERSION,6
2120,176515,VENDOR,1
2120,176515,PRODUCT,2
2120,176515,VERSION,6
2122,176517,VENDOR,1
2122,176517,VERSION,6
2123,176518,VENDOR,1
2123,176518,VERSION,6
2133,176528,VENDOR,1
2133,176528,PRODUCT,2
2133,176528,VERSION,6
2137,176532,VENDOR,1
2137,176532,PRODUCT,2
2137,176532,VERSION,6
2141,176536,VENDOR,1
2141,176536,PRODUCT,2
2141,176536,VERSION,6
2145,176540,VENDOR,1
2145,176540,PRODUCT,2
2145,176540,VERSION,6
2147,176542,VENDOR,1
2147,176542,PRODUCT,2
2147,176542,VERSION,6
2148,176543,VENDOR,1
2148,176543,PRODUCT,2
2148,176543,VERSION,6
2149,176544,VENDOR,1
2149,176544,PRODUCT,2
2149,176544,VERSION,6
2151,176546,VENDOR,1
2151,176546,PRODUCT,2
2151,176546,VERSION,6
2159,176554,VENDOR,1
2159,176554,PRODUCT,2
2159,176554,VERSION,6
2161,176556,VENDOR,1
2161,176556,PRODUCT,2
2161,176556,VERSION,6
2162,176557,VENDOR,1
2162,176557,PRODUCT,2
2162,176557,VERSION,6
2168,176563,VENDOR,1
2168,176563,PRODUCT,2
2168,176563,VERSION,6
2187,176582,VENDOR,1
2187,176582,PRODUCT,2
2187,176582,VERSION,6
2187,176582,UPDATE,7
2195,176590,VENDOR,1
2195,176590,PRODUCT,2
2195,176590,VERSION,6
2203,176598,VENDOR,1
2203,176598,PRODUCT,2
2203,176598,VERSION,6
2215,176610,VENDOR,1
2215,176610,PRODUCT,2
2215,176610,VERSION,6
2230,176625,VENDOR,1
2230,176625,PRODUCT,2
2230,176625,VERSION,6
2230,176625,SW_EDITION,10
2239,176634,VENDOR,1
2239,176634,VERSION,6
2239,176634,TARGET_SW,11
2301,176696,VERSION,6
2306,176701,VENDOR,1
2306,176701,VERSION,6
2306,176701,UPDATE,7
2307,176702,VENDOR,1
2307,176702,PRODUCT,2
2307,176702,VERSION,6
2507,176902,VERSION,6
2513,176908,UPDATE,7
2555,198835,VENDOR,1
2555,198835,PRODUCT,2
2555,198835,VERSION,6
2556,198836,VERSION,6
2573,198853,VERSION,6
2574,198854,VENDOR,1
2574,198854,PRODUCT,2
2574,198854,VERSION,6
2576,198856,VENDOR,1
2576,198856,PRODUCT,2
2576,198856,VERSION,6
2577,198857,VENDOR,1
2577,198857,VERSION,6
2580,198860,VENDOR,1
2580,198860,VERSION,6
2581,198861,VENDOR,1
2581,198861,PRODUCT,2
2581,198861,VERSION,6
2582,198862,VENDOR,1
2582,198862,VERSION,6
2583,198863,VENDOR,1
2583,198863,VERSION,6
2587,198867,VERSION,6
2588,198868,VENDOR,1
2588,198868,VERSION,6
2591,198871,VENDOR,1
2591,198871,PRODUCT,2
2591,198871,VERSION,6
2593,198873,VERSION,6
2598,198878,VENDOR,1
2598,198878,PRODUCT,2
2598,198878,VERSION,6
2604,198884,VENDOR,1
2604,198884,VERSION,6
2605,198885,VENDOR,1
2605,198885,VERSION,6
2607,198887,VENDOR,1
2607,198887,VERSION,6
2607,198887,UPDATE,7
2610,198890,VERSION,6
2762,199042,VENDOR,1
2762,199042,VERSION,6
2764,199044,VENDOR,1
2764,199044,VERSION,6
2766,199046,VERSION,6
2792,199072,VENDOR,1
2792,199072,PRODUCT,2
2792,199072,VERSION,6
2792,199072,SW_EDITION,10
2796,199076,VENDOR,1
2796,199076,VERSION,6
2798,199078,VENDOR,1
2798,199078,PRODUCT,2
2798,199078,VERSION,6
2798,199078,UPDATE,7
2811,199091,VERSION,6
2816,199096,VENDOR,1
2816,199096,PRODUCT,2
2816,199096,VERSION,6
2816,199096,UPDATE,7
2838,199118,UPDATE,7
2841,199121,VERSION,6
2845,199125,VENDOR,1
2845,199125,PRODUCT,2
2845,199125,VERSION,6
2845,199125,UPDATE,7
2863,199143,VERSION,6
2882,199162,VENDOR,1
2883,199163,VENDOR,1
2883,199163,VERSION,6
2883,199163,UPDATE,7
2890,199170,UPDATE,7
