case_name,component_id,firmware,observed_version,verified_version,final_gt_cpe,validation_result,key_policy,authoritative_evidence_path,evidence_summary
pimd,199076,"ACKSYS AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE 4.36.1.1",2.99-170711-153bf84fd9f0b7e8372411e9940c5d28a37f3c1f,3.0-beta1,cpe:2.3:a:troglobit:pimd:3.0:*:*:*:*:*:*:*,NVD_CONFIGURATION_ONLY,STRICT_DIRECT_QUALIFIER_POLICY | NVD_CONFIGURATION_ONLY_GATE,analysis/results/pimd-base-version-correction/20260820T110357Z/correction.csv | analysis/results/pimd-beta1-cpe-modeling-audit/20260820T110357Z/model_comparison.csv,Direct source evidence verifies 3.0-beta1; the fixed NVD Configuration represents the direct expression at base VERSION 3.0.
LuaJIT,176590,Teltonika RUT986 00.07.24.2,2.1.2025.05.29-2,2.1.1705946796,cpe:2.3:a:luajit:luajit:2.1.1705946796:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,ROLLING_VERSION_POLICY | SOURCE_SNAPSHOT_POLICY,analysis/results/teltonika-luajit-ppp-sanity-audit/20260819T035002Z__20260820T110357Z/luajit_analysis.csv | analysis/results/teltonika-unresolved-production-correction/9761b66b2705__00.07.24.2/correction.csv,Pinned upstream build generation makes commit timestamp 1705946796 part of the rolling LuaJIT version.
hostapd,198871,"ACKSYS AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE 4.36.1.1",2020-06-08-5a8b3662-11,2.10-devel,cpe:2.3:a:w1.fi:hostapd:2.10:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,STRICT_DIRECT_QUALIFIER_POLICY | REPRESENTATIVE_POLICY,analysis/results/hostapd-hs20-strict-qualifier-correction/20260819T035002Z/correction.csv | analysis/results/hostapd-hs20-strict-qualifier-correction/20260819T035002Z/policy_composition.json,hostapd-hs20 is the hostapd representative; direct evidence verifies 2.10-devel while the selected CPE family models VERSION 2.10.
wpa_supplicant (Teltonika),176907,Teltonika RUT986 00.07.24.2,2.12,2.12-devel,cpe:2.3:a:w1.fi:wpa_supplicant:2.12:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,STRICT_DIRECT_QUALIFIER_POLICY | DIRECT_OR_DETERMINISTIC_VERSION_POLICY,analysis/results/teltonika-rut986-ground-truth-candidate-build/9761b66b2705__00.07.24.2/components.csv | analysis/results/four-firmware-version-normalization-vs-inference-audit/20260819T035002Z/all_cpe_bearing_versions.csv,Direct runtime evidence verifies the firmware-specific development version; CPE VERSION/UPDATE modeling is handled separately.
wpa_supplicant (ACKSYS),199169,"ACKSYS AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE 4.36.1.1",2.10,2.10-devel,cpe:2.3:a:w1.fi:wpa_supplicant:2.10:*:*:*:*:*:*:*,CPE_CONFIRMED,STRICT_DIRECT_QUALIFIER_POLICY | DIRECT_OR_DETERMINISTIC_VERSION_POLICY,analysis/results/acksys-waveos-ground-truth-candidate-build/580c66ceee59__4.36.1.1/components.csv | analysis/results/four-firmware-version-normalization-vs-inference-audit/20260819T035002Z/all_cpe_bearing_versions.csv,Direct runtime evidence verifies the firmware-specific development version; CPE VERSION/UPDATE modeling is handled separately.
wpa_supplicant (MDEX),199617,MDEX MX560 12.01.07.151,2.7,2.7-devel,cpe:2.3:a:w1.fi:wpa_supplicant:2.7:*:*:*:*:*:*:*,CPE_CONFIRMED,STRICT_DIRECT_QUALIFIER_POLICY | DIRECT_OR_DETERMINISTIC_VERSION_POLICY,analysis/results/mdex-mx560-ground-truth-finalization/8d37444ef25e__12.01.07.151/candidate_components.csv | analysis/results/four-firmware-version-normalization-vs-inference-audit/20260819T035002Z/all_cpe_bearing_versions.csv,Direct runtime evidence verifies the firmware-specific development version; CPE VERSION/UPDATE modeling is handled separately.
wpa_supplicant (Unitronics),200198,Unitronics UCR-ST-B8 52.07.13.7,2.11,2.11-devel,cpe:2.3:a:w1.fi:wpa_supplicant:2.11:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,STRICT_DIRECT_QUALIFIER_POLICY | DIRECT_OR_DETERMINISTIC_VERSION_POLICY,analysis/results/unitronics-ground-truth-candidate-build/61602e128acb__52.07.13.7/components.csv | analysis/results/four-firmware-version-normalization-vs-inference-audit/20260819T035002Z/all_cpe_bearing_versions.csv,Direct runtime evidence verifies the firmware-specific development version; CPE VERSION/UPDATE modeling is handled separately.
ncurses (ACKSYS),199163,"ACKSYS AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE 4.36.1.1",6.1.20180127,6.1.20180127,cpe:2.3:a:invisible-island:ncurses:6.1:20180127:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,STRICT_DIRECT_QUALIFIER_POLICY | DIRECT_RUNTIME_VERSION,analysis/results/acksys-waveos-ground-truth-candidate-build/580c66ceee59__4.36.1.1/components.csv | analysis/results/four-firmware-version-normalization-vs-inference-audit/20260819T035002Z/all_cpe_bearing_versions.csv,Direct runtime evidence preserves composite version 6.1.20180127 as CPE VERSION 6.1 and UPDATE 20180127.
ncurses (MDEX),199611,MDEX MX560 12.01.07.151,6.1.20180127,6.1.20180127,cpe:2.3:a:invisible-island:ncurses:6.1:20180127:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,STRICT_DIRECT_QUALIFIER_POLICY | DIRECT_RUNTIME_VERSION,analysis/results/mdex-mx560-ground-truth-finalization/8d37444ef25e__12.01.07.151/candidate_components.csv | analysis/results/four-firmware-version-normalization-vs-inference-audit/20260819T035002Z/all_cpe_bearing_versions.csv,Direct runtime evidence preserves composite version 6.1.20180127 as CPE VERSION 6.1 and UPDATE 20180127.
conntrackd,198856,"ACKSYS AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE 4.36.1.1",2017-09-27-eefe649c-1,1.4.4,cpe:2.3:a:netfilter:conntrack-tools:1.4.4:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,PRODUCT_IDENTITY | DIRECT_SOURCE_DECLARATION,analysis/results/acksys-waveos-ground-truth-candidate-build/580c66ceee59__4.36.1.1/components.csv | analysis/results/four-firmware-version-normalization-vs-inference-audit/20260819T035002Z/all_cpe_bearing_versions.csv,Package/runtime conntrackd is represented by upstream product conntrack-tools at directly declared version 1.4.4.
coova-chilli,199185,MDEX MX560 12.01.07.151,1.3.0+20141128-4,1.3.0,cpe:2.3:a:coovachilli_project:coovachilli:1.3.0:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,DETERMINISTIC_PACKAGE_NORMALIZATION | CPE_FAMILY_SELECTION,analysis/results/mdex-mx560-ground-truth-finalization/8d37444ef25e__12.01.07.151/candidate_components.csv | analysis/results/four-firmware-version-normalization-vs-inference-audit/20260819T035002Z/all_cpe_bearing_versions.csv,Package release metadata is separated from upstream version 1.3.0 and the official coovachilli_project family is selected.
Teltonika PPP,176634,Teltonika RUT986 00.07.24.2,2.4.9.git-2021-01-04-19,2.4.9,cpe:2.3:a:samba:ppp:2.4.9:*:*:*:*:linux:*:*,OFFICIAL_CPE_MAPPED,DIRECT_SOURCE_DECLARATION | CPE_FAMILY_SELECTION,analysis/results/teltonika-unresolved-production-correction/9761b66b2705__00.07.24.2/correction.csv | analysis/results/teltonika-luajit-ppp-sanity-audit/20260819T035002Z__20260820T110357Z/ppp_analysis.csv,Pinned source directly declares PPP 2.4.9; the compatible samba:ppp family uses target_sw linux.
MDEX PPP,199506,MDEX MX560 12.01.07.151,2.4.7-12,2.4.7,cpe:2.3:a:point-to-point_protocol_project:point-to-point_protocol:2.4.7:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,DIRECT_OR_DETERMINISTIC_VERSION_POLICY | CPE_FAMILY_SELECTION,analysis/results/mdex-unresolved-correction/8d37444ef25e__12.01.07.151/correction.csv | analysis/results/mdex-unresolved-final-audit/8d37444ef25e__12.01.07.151/ppp_family_analysis.csv,MDEX evidence independently verifies 2.4.7 and selects the point-to-point_protocol_project family.
Teltonika libnl,176546,Teltonika RUT986 00.07.24.2,3.9.0-1,3.9.0,cpe:2.3:a:libnl_project:libnl:3.9.0:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,REPRESENTATIVE_POLICY | NO_PARENT_CPE_INHERITANCE,analysis/results/teltonika-unresolved-production-correction/9761b66b2705__00.07.24.2/correction.csv | analysis/results/teltonika-unresolved-final-audit/9761b66b2705__00.07.24.2/cpe_family_analysis.csv,libnl-core200 is the product representative at 3.9.0; meta and split packages do not inherit its CPE.
Unitronics libnl,199883,Unitronics UCR-ST-B8 52.07.13.7,3.9.0-1,3.9.0,cpe:2.3:a:libnl_project:libnl:3.9.0:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,REPRESENTATIVE_POLICY | NO_PARENT_CPE_INHERITANCE,analysis/results/unitronics-unresolved-correction/61602e128acb__52.07.13.7/corrections.csv | analysis/results/four-firmware-version-normalization-vs-inference-audit/20260819T035002Z/all_cpe_bearing_versions.csv,libnl-core200 is the confirmed representative at 3.9.0; sibling split packages remain CPE-null.
Unitronics libmodbus,199876,Unitronics UCR-ST-B8 52.07.13.7,7.13,3.1.6,cpe:2.3:a:libmodbus:libmodbus:3.1.6:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,DIRECT_RUNTIME_VERSION,analysis/results/unitronics-final-unresolved-production-correction/61602e128acb__52.07.13.7/correction.csv | analysis/results/unitronics-final-unresolved-production-correction/61602e128acb__52.07.13.7/runtime_evidence.json,Direct runtime evidence establishes libmodbus 3.1.6 despite package version 7.13.
Unitronics shellinabox,199991,Unitronics UCR-ST-B8 52.07.13.7,2025-02-17-4,2.20,cpe:2.3:a:shellinabox_project:shellinabox:2.20:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,DIRECT_RUNTIME_VERSION,analysis/results/unitronics-final-unresolved-production-correction/61602e128acb__52.07.13.7/correction.csv | analysis/results/unitronics-final-unresolved-production-correction/61602e128acb__52.07.13.7/runtime_evidence.json,A direct runtime banner establishes shellinabox 2.20 independently of the dated package release.
Teltonika libatomic1,176504,Teltonika RUT986 00.07.24.2,8.4.0-3,8.4.0-3,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NO_PARENT_CPE_INHERITANCE | REPRESENTATIVE_POLICY,analysis/results/teltonika-libatomic-libgcc-evidence-recovery-audit/9761b66b2705__00.07.24.2/target_audit.csv | analysis/results/teltonika-libatomic-libgcc-evidence-recovery-audit/9761b66b2705__00.07.24.2/evidence_manifest.csv,libatomic1 is a non-representative GCC runtime split; package/toolchain provenance does not justify inheriting a GCC parent CPE.
Teltonika libgcc1,176516,Teltonika RUT986 00.07.24.2,8.4.0-3,8.4.0-3,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NO_PARENT_CPE_INHERITANCE | REPRESENTATIVE_POLICY,analysis/results/teltonika-libatomic-libgcc-evidence-recovery-audit/9761b66b2705__00.07.24.2/target_audit.csv | analysis/results/teltonika-libatomic-libgcc-evidence-recovery-audit/9761b66b2705__00.07.24.2/evidence_manifest.csv,libgcc1 is a non-representative GCC runtime split; package/toolchain provenance does not justify inheriting a GCC parent CPE.
